Time,GradE,LanE,LapC,dLan,TE,Chi,Phi_0P,Phi_1P,Phi_2P,Phi_3P,Phi_4P,Phi_5P,GradE_P,LanE_P,TE_P,LapC_P,dLan_P,Chi_P,Phi_0M,Phi_1M,Phi_2M,Phi_3M,Phi_4M,Phi_5M,GradE_M,LanE_M,TE_M,LapC_M,dLan_M,Chi_M
0.0,0.23710844736332304,0.2260096113210714,-0.08283953496989077,-0.06011804842613283,0.22624671976843472,-0.08277941692146464,0.6,0.13346128774706917,0.0359753018686776,0.010446961558318618,0.003156319529053555,0.000977603653087019,0.12140358482283473,0.13280142894792404,0.13292283253274687,-0.9078701624311848,-0.12301432617683823,-0.12210645601440705,0.4,-0.06613855561449482,0.013979024035071211,-0.0032422777777457628,0.0007907775627538861,-0.00019908730529316979,0.11570486254048838,0.09320818237314735,0.09332388723568784,0.8250306274612942,0.06289627775070537,0.06207124712324408
0.01,0.24127874590502024,0.2255849649235894,-0.03579491326640033,-0.06052783308370954,0.22582624366949441,-0.03573438543331662,0.6,0.13469109299586132,0.03663455465028395,0.010733556235401967,0.003271759473987764,0.0010223426993835702,0.12360093065886839,0.13250066254335424,0.1326242634740131,-0.9513956485364522,-0.12395753674417773,-0.12300614109564127,0.4,-0.06676308253371423,0.014241579687090368,-0.003333378765418677,0.0008203688951509601,-0.000208397666361674,0.11767781524615188,0.09308430238023509,0.09320198019548123,0.9156007352700519,0.06342970366046821,0.06251410292519816
0.02,0.24557420187543563,0.2251538272010509,-0.018417826814179028,-0.060936858177125235,0.22539940140292633,-0.018356889956001904,0.6,0.13593025349715962,0.03730468658547573,0.011027449155667068,0.003391181774092258,0.0010690323223145777,0.12584303343765363,0.1321954521507846,0.13232129518422225,-0.9736460597755329,-0.12490280432702089,-0.12392915826724536,0.4,-0.06739287445447169,0.014508765095955608,-0.0034269282042153396,0.0008510303930026981,-0.0002181316748272048,0.119731168437782,0.09295837505026636,0.09307810621870413,0.9552282329613537,0.0639659461498956,0.06301071791693426
0.03,0.24996777973867404,0.22471613553019837,-0.0108606123841124,-0.06134501436111337,0.22496610330993705,-0.010799267369751286,0.6,0.1371787874354143,0.037985833790094514,0.011328800483999358,0.0035147106055178263,0.0011177512978380218,0.12812618809102935,0.13188576075633165,0.13201388694442268,-0.9889221320453739,-0.12584998693920746,-0.12486106480716208,0.4,-0.06802795825031152,0.014780649448756566,-0.0035229855815074457,0.0008827979930022196,-0.00022830749514882694,0.12184159164764476,0.09283037477386683,0.09295221636551447,0.9780615196612615,0.06450497257809408,0.06352691105843282
0.04,0.25445125605946356,0.22427182777785903,-0.007104100553306791,-0.06175219026687797,0.2245262790339185,-0.007042348363039914,0.6,0.1384367115264946,0.0386781326184514,0.011637772853533155,0.0036424733783919482,0.0011685812310294008,0.13044950021440252,0.13157155203537188,0.13170200153558628,-1.001560221422276,-0.12679893866259856,-0.12579737844117628,0.4,-0.06866836043988482,0.015057302982741766,-0.0036216119611019683,0.000915708935450766,-0.00023894412189087765,0.124001755845061,0.09270027574248718,0.09282427749833225,0.9944561208689692,0.06504674839572062,0.06405229227485165
0.05,0.2590211772830991,0.2238208424549913,-0.0050221351110439905,-0.06215827237153255,0.2240798636322744,-0.0049599768386724575,0.6,0.13970404097840194,0.039381719560981916,0.011954531310299304,0.0037746007546470405,0.0012216066167733935,0.1328127897699787,0.13125279040817037,0.13138560319794035,-1.0130921377684436,-0.12774950965918905,-0.1267364175214206,0.4,-0.06931410716920455,0.01533879674747565,-0.003722869804223399,0.0009498016822512192,-0.000250061354416201,0.1262083875131204,0.09256805204682089,0.09269426043433401,1.0080700026573997,0.06559123728765653,0.06458316728499913
0.06,0.26367598016713917,0.22336311880745724,-0.003761488482387554,-0.06256314495762749,0.22362679478762437,-0.0036989253374299265,0.6,0.14098078945189982,0.040096731165785486,0.012279243281650148,0.003911226682599866,0.0012769149114021452,0.1352161607521516,0.13092944108775684,0.131064657248509,-1.0241329384929392,-0.1287015461625039,-0.12767741322401097,0.4,-0.06996522419421942,0.01562520251417151,-0.003826822916381919,0.0009851159071591572,-0.0002616798064822164,0.1284598194149876,0.09243367771970042,0.09256213753911541,1.0203714500105516,0.06613840120487637,0.06511802975486582
0.07,0.2684150439872535,0.2228985968893239,-0.002941869598128144,-0.06296669010078342,0.22316701193331115,-0.0028789029080273604,0.6,0.1422669690210133,0.04082330396549248,0.012612078549361135,0.004052488435154464,0.0013345966077818678,0.137659859345878,0.13060147012604206,0.13073912998538795,-1.034957194999256,-0.12965489046488005,-0.12861993326988078,0.4,-0.07062173686338392,0.015916592726730374,-0.003933536429727414,0.001021692506600874,-0.0002738209261135971,0.13075518464137567,0.09229712676328172,0.0924278819479231,1.0320153254011277,0.06668820036409664,0.06565618503869551
0.08,0.27323828296589914,0.22242721762982748,-0.0023780080127186465,-0.06336878767063514,0.2227004559127934,-0.0023146392250480113,0.6,0.14356259013340195,0.04156157440495042,0.012953209222734276,0.004198526648383253,0.0013947453119913216,0.14014421282598563,0.1302688444596203,0.1304089886724463,-1.045699128556927,-0.130609380904733,-0.12956368177617608,0.4,-0.07128367010009083,0.01621304046893539,-0.004043076799145206,0.0010595736187116833,-0.00028650701991922634,0.13309407013991364,0.09215837317020718,0.09229146724034709,1.0433211205442083,0.06724059323409792,0.06619727211355371
0.09,0.2781459414917045,0.22194892289784537,-0.001972356533013253,-0.06376931533976368,0.22222706883933707,-0.0019085872176734895,0.6,0.14486766157062075,0.042311678768165495,0.013302809710032828,0.004349485359283746,0.001457457820892121,0.14266959878579694,0.1299315319557379,0.1300742015545237,-1.056429854105459,-0.13156485185539246,-0.130508422001287,0.4,-0.07195104838490221,0.01651461943897251,-0.0041555118046287965,0.0010988026463864906,-0.0002997612798890741,0.13547634270590767,0.09201739094210752,0.09215286728481342,1.0544574975724457,0.06779553651562872,0.06674107901805627
