2021-07-21 00:20:10: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-21 00:20:11: Time: 0
2021-07-21 00:20:11: Time: 1
2021-07-21 00:20:11: Time: 2
2021-07-21 00:20:11: Time: 3
2021-07-21 00:20:11: Time: 4
2021-07-21 00:20:11: Time: 5
2021-07-21 00:20:11: Time: 6
2021-07-21 00:20:11: Time: 7
2021-07-21 00:20:12: Time: 8
2021-07-21 00:20:12: Time: 9
2021-07-21 00:20:12: Time: 10
2021-07-21 00:20:12: Time: 11
2021-07-21 00:20:12: Time: 12
2021-07-21 00:20:12: Time: 13
2021-07-21 00:20:12: Time: 14
2021-07-21 00:20:12: Time: 15
2021-07-21 00:20:12: Time: 16
2021-07-21 00:20:12: Time: 17
2021-07-21 00:20:12: Time: 18
2021-07-21 00:20:12: Time: 19
2021-07-21 00:20:12: Time: 20
2021-07-21 00:20:12: Time: 21
2021-07-21 00:20:12: Time: 22
2021-07-21 00:20:12: Time: 23
2021-07-21 00:20:12: Time: 24
2021-07-21 00:20:12: Time: 25
2021-07-21 00:20:12: Time: 26
2021-07-21 00:20:12: Time: 27
2021-07-21 00:20:12: Time: 28
2021-07-21 00:20:12: Time: 29
2021-07-21 00:20:12: Time: 30
2021-07-21 00:20:12: Time: 31
2021-07-21 00:20:12: Time: 32
2021-07-21 00:20:12: Time: 33
2021-07-21 00:20:12: Time: 34
2021-07-21 00:20:12: Time: 35
2021-07-21 00:20:12: Time: 36
2021-07-21 00:20:12: Time: 37
2021-07-21 00:20:12: Time: 38
2021-07-21 00:20:12: Time: 39
2021-07-21 00:20:13: Time: 40
2021-07-21 00:20:13: Time: 41
2021-07-21 00:20:13: Time: 42
2021-07-21 00:20:13: Time: 43
2021-07-21 00:20:13: Time: 44
2021-07-21 00:20:13: Time: 45
2021-07-21 00:20:13: Time: 46
2021-07-21 00:20:13: Time: 47
2021-07-21 00:20:13: Time: 48
2021-07-21 00:20:13: Time: 49
2021-07-21 00:20:13: Time: 50
2021-07-21 00:20:13: Time: 51
2021-07-21 00:20:13: Time: 52
2021-07-21 00:20:13: Time: 53
2021-07-21 00:20:13: Time: 54
2021-07-21 00:20:13: Time: 55
2021-07-21 00:20:13: Time: 56
2021-07-21 00:20:13: Time: 57
2021-07-21 00:20:13: Time: 58
2021-07-21 00:20:13: Time: 59
2021-07-21 00:20:13: Time: 60
2021-07-21 00:20:13: Time: 61
2021-07-21 00:20:13: Time: 62
2021-07-21 00:20:13: Time: 63
2021-07-21 00:20:13: Time: 64
2021-07-21 00:20:13: Time: 65
2021-07-21 00:20:13: Time: 66
2021-07-21 00:20:13: Time: 67
2021-07-21 00:20:13: Time: 68
2021-07-21 00:20:13: Time: 69
2021-07-21 00:20:14: Time: 70
2021-07-21 00:20:14: Time: 71
2021-07-21 00:20:14: Time: 72
2021-07-21 00:20:14: Time: 73
2021-07-21 00:20:14: Time: 74
2021-07-21 00:20:14: Time: 75
2021-07-21 00:20:14: Time: 76
2021-07-21 00:20:14: Time: 77
2021-07-21 00:20:14: Time: 78
2021-07-21 00:20:14: Time: 79
2021-07-21 00:20:14: Time: 80
2021-07-21 00:20:14: Time: 81
2021-07-21 00:20:14: Time: 82
2021-07-21 00:20:14: Time: 83
2021-07-21 00:20:14: Time: 84
2021-07-21 00:20:14: Time: 85
2021-07-21 00:20:14: Time: 86
2021-07-21 00:20:14: Time: 87
2021-07-21 00:20:14: Time: 88
2021-07-21 00:20:14: Time: 89
2021-07-21 00:20:14: Time: 90
2021-07-21 00:20:14: Time: 91
2021-07-21 00:20:14: Time: 92
2021-07-21 00:20:14: Time: 93
2021-07-21 00:20:14: Time: 94
2021-07-21 00:20:14: Time: 95
2021-07-21 00:20:14: Time: 96
2021-07-21 00:20:14: Time: 97
2021-07-21 00:20:14: Time: 98
2021-07-21 00:20:14: Time: 99
2021-07-21 00:20:15: Time: 100
2021-07-21 00:20:15: Time: 101
2021-07-21 00:20:15: Time: 102
2021-07-21 00:20:15: Time: 103
2021-07-21 00:20:15: Time: 104
2021-07-21 00:20:15: Time: 105
2021-07-21 00:20:15: Time: 106
2021-07-21 00:20:15: Time: 107
2021-07-21 00:20:15: Time: 108
2021-07-21 00:20:15: Time: 109
2021-07-21 00:20:15: Time: 110
2021-07-21 00:20:15: Time: 111
2021-07-21 00:20:15: Time: 112
2021-07-21 00:20:15: Time: 113
2021-07-21 00:20:15: Time: 114
2021-07-21 00:20:15: Time: 115
2021-07-21 00:20:15: Time: 116
2021-07-21 00:20:15: Time: 117
2021-07-21 00:20:15: Time: 118
2021-07-21 00:20:15: Time: 119
2021-07-21 00:20:15: Time: 120
2021-07-21 00:20:15: Time: 121
2021-07-21 00:20:15: Time: 122
2021-07-21 00:20:15: Time: 123
2021-07-21 00:20:15: Time: 124
2021-07-21 00:20:15: Time: 125
2021-07-21 00:20:15: Time: 126
2021-07-21 00:20:15: Time: 127
2021-07-21 00:20:15: Time: 128
2021-07-21 00:20:16: Time: 129
2021-07-21 00:20:16: Time: 130
2021-07-21 00:20:16: Time: 131
2021-07-21 00:20:16: Time: 132
2021-07-21 00:20:16: Time: 133
2021-07-21 00:20:16: Time: 134
2021-07-21 00:20:16: Time: 135
2021-07-21 00:20:16: Time: 136
2021-07-21 00:20:16: Time: 137
2021-07-21 00:20:16: Time: 138
2021-07-21 00:20:16: Time: 139
2021-07-21 00:20:16: Time: 140
2021-07-21 00:20:16: Time: 141
2021-07-21 00:20:16: Time: 142
2021-07-21 00:20:16: Time: 143
2021-07-21 00:20:16: Time: 144
2021-07-21 00:20:16: Time: 145
2021-07-21 00:20:16: Time: 146
2021-07-21 00:20:16: Time: 147
2021-07-21 00:20:16: Time: 148
2021-07-21 00:20:16: Time: 149
2021-07-21 00:20:16: Time: 150
2021-07-21 00:20:16: Time: 151
2021-07-21 00:20:16: Time: 152
2021-07-21 00:20:16: Time: 153
2021-07-21 00:20:16: Time: 154
2021-07-21 00:20:16: Time: 155
2021-07-21 00:20:16: Time: 156
2021-07-21 00:20:17: Time: 157
2021-07-21 00:20:17: Time: 158
2021-07-21 00:20:17: Time: 159
2021-07-21 00:20:17: Time: 160
2021-07-21 00:20:17: Time: 161
2021-07-21 00:20:17: Time: 162
2021-07-21 00:20:17: Time: 163
2021-07-21 00:20:17: Time: 164
2021-07-21 00:20:17: Time: 165
2021-07-21 00:20:17: Time: 166
2021-07-21 00:20:17: Time: 167
2021-07-21 00:20:17: Time: 168
2021-07-21 00:20:17: Time: 169
2021-07-21 00:20:17: Time: 170
2021-07-21 00:20:17: Time: 171
2021-07-21 00:20:17: Time: 172
2021-07-21 00:20:17: Time: 173
2021-07-21 00:20:17: Time: 174
2021-07-21 00:20:17: Time: 175
2021-07-21 00:20:17: Time: 176
2021-07-21 00:20:17: Time: 177
2021-07-21 00:20:17: Time: 178
2021-07-21 00:20:17: Time: 179
2021-07-21 00:20:17: Time: 180
2021-07-21 00:20:17: Time: 181
2021-07-21 00:20:17: Time: 182
2021-07-21 00:20:17: Time: 183
2021-07-21 00:20:17: Time: 184
2021-07-21 00:20:18: Time: 185
2021-07-21 00:20:18: Time: 186
2021-07-21 00:20:18: Time: 187
2021-07-21 00:20:18: Time: 188
2021-07-21 00:20:18: Time: 189
2021-07-21 00:20:18: Time: 190
2021-07-21 00:20:18: Time: 191
2021-07-21 00:20:18: Time: 192
2021-07-21 00:20:18: Time: 193
2021-07-21 00:20:18: Time: 194
