Time,GradE,LanE,LapC,dLan,TE,Chi,Phi_0P,Phi_1P,Phi_2P,Phi_3P,Phi_4P,Phi_5P,GradE_P,LanE_P,TE_P,LapC_P,dLan_P,Chi_P,Phi_0M,Phi_1M,Phi_2M,Phi_3M,Phi_4M,Phi_5M,GradE_M,LanE_M,TE_M,LapC_M,dLan_M,Chi_M
0.0,0.011046144317583974,0.24888370148176267,0.009049096010659029,0.0073863931235212885,0.24889474762608024,0.009041709617535507,0.45,0.017474194304633647,0.0008571726068484502,4.592917903952781e-05,2.5809382067932883e-06,1.4945255668123656e-07,0.005487518464113921,0.11207205893112739,0.1120775464495915,-0.18240449764376288,-0.017428265124998638,-0.017245860627354875,0.55,-0.02489733570479658,0.001379299377731664,-8.267745605220409e-05,5.16895800519809e-06,-3.3182805782684447e-07,0.005558625853470056,0.1368116425506354,0.13681720117648888,0.19145359365442194,0.024814658248519927,0.024623204654865505
0.01,0.011259606251114941,0.24886138403103586,0.003914206769364423,0.007459874493440404,0.24887264363728698,0.003906746894870982,0.45,0.01764810680702172,0.0008742989284415786,4.731086576186888e-05,2.6848528330140233e-06,1.5700275767055163e-07,0.005591708520971778,0.1120635217489874,0.11206911345750838,-0.1987142932859848,-0.0176007959405052,-0.017402081647219216,0.55,-0.025145846951424012,0.0014069645587675103,-8.517651718362829e-05,5.378245728756628e-06,-3.487002579099235e-07,0.005667897730143168,0.13679786228204835,0.1368035301797785,0.20262850005534924,0.025060670433945605,0.024858041933890258
0.02,0.011479324934780035,0.24883862273844737,0.0020167012058256995,0.007534063925489229,0.24885010206338215,0.0020091671419002104,0.45,0.017823740515419906,0.0008917665091424162,4.8734056871065316e-05,2.7929484596379387e-06,1.6493435146395217e-07,0.00569939217116988,0.1120548149825436,0.11206051437471477,-0.2060664858067602,-0.017775006457843804,-0.017568939972037043,0.55,-0.02539682129837598,0.001435182483410158,-8.775091477158333e-05,5.595990436079444e-06,-3.6642901226060895e-07,0.0057799327636101575,0.13678380775590387,0.13678958768866747,0.20808318701258594,0.02530907038333303,0.025100987196320444
0.03,0.01170435167170005,0.24881540889850387,0.0011910798175968906,0.007608967539977059,0.24882711325017556,0.0011834708500569136,0.45,0.01800111217344354,0.0009095820726853895,5.019998798139811e-05,2.9053920256420276e-06,1.732664738886298e-07,0.005809877221776486,0.11204593531166364,0.11205174518888542,-0.21046693852711756,-0.01795091218482279,-0.017740445246295672,0.55,-0.025650282631092182,0.0014639640924593589,-9.040290605161438e-05,5.822532280275596e-06,-3.850576418798312e-07,0.005894474449923565,0.1367694735868403,0.13677536806129023,0.21165801834471448,0.025559879724799842,0.025348221706455128
0.04,0.01193443466229884,0.2487917336296126,0.0007804683960907915,0.007684591489604176,0.2488036680642749,0.0007727838046011874,0.45,0.01818023867885831,0.0009277524869603536,5.170993393058138e-05,3.0223574643366426e-06,1.820192575790108e-07,0.005922965772600479,0.11203687934588583,0.11204280231165843,-0.21373755979751913,-0.018128528744340126,-0.017914791184542606,0.55,-0.025906255050689702,0.0014933205451454665,-9.313481652907705e-05,6.05822519800645e-06,-4.0463167154363455e-07,0.00601146888969836,0.13675485428372666,0.13676086575261637,0.21451802819360988,0.0258131202339443,0.02559860220575069
0.05,0.01216949925213147,0.24876758787586326,0.0005527749542402899,0.0077609419582127725,0.24877975737511537,0.0005450140122820771,0.45,0.018361137084723016,0.0009462847595583309,5.32652085164011e-05,3.1440257950856862e-06,1.912138615006467e-07,0.006038585290258899,0.11202764362666952,0.11203368221195978,-0.21652220384945936,-0.018307871875657307,-0.01809134967180785,0.55,-0.026164762875417094,0.0015232632202957816,-9.594904134911833e-05,6.303437366464006e-06,-4.2519892951211676e-07,0.006130913961872573,0.13673994424919367,0.13674607516315554,0.21707497880369966,0.026068813833870087,0.02585173885506639
0.06,0.012409541671257447,0.24874296240560675,0.0004148326932253907,0.007838025159935414,0.248755371947278,0.00040699466806545526,0.45,0.018543824600536937,0.000965186037899587,5.4867165148270725e-05,3.2705853402651334e-06,2.0087251530736808e-07,0.006156713176846705,0.11201822462738519,0.11202438134056203,-0.21907944972783888,-0.018488957434867958,-0.01826987798514012,0.55,-0.02642583064210475,0.001553803719425606,-9.884804711762163e-05,6.558551737588548e-06,-4.4680965931990057e-07,0.006252828494410739,0.13672473777822153,0.13673099060671595,0.21949428242106428,0.02632698259480338,0.026107488312382316
0.07,0.012654594186848913,0.24871784780908235,0.00032510364549750287,0.0079158473384358,0.2487305024032692,0.0003171877981590671,0.45,0.018728318593389193,0.00098446361070298,5.651719778079455e-05,3.4022319852292826e-06,2.1101856966849787e-07,0.006277352027739846,0.11200861875264473,0.11201489610467247,-0.2215247004653314,-0.01867180139510946,-0.01845027669464413,0.55,-0.026689483107609522,0.0015849538704295258,-0.00010183437389165214,6.823966610043262e-06,-4.6951663913287435e-07,0.006377242159109067,0.1367092290564377,0.1367156062985968,0.22184980411082894,0.026587648733545265,0.026365798929434435
0.08,0.012904710177899776,0.24869223449563768,0.0002633452885991011,0.007994414766167758,0.24870513920581558,0.00025535087383293337,0.45,0.018914636589108733,0.0010041249100160383,5.821674197866959e-05,3.539169462088393e-06,2.216765505731797e-07,0.006400519030134678,0.11199882233735743,0.11200522285638756,-0.22391430542144397,-0.018856419846647984,-0.01863250554122654,0.55,-0.026955745250252676,0.001616725731554457,-0.00010491063727331087,7.100096230230017e-06,-4.933753078257288e-07,0.006504191147765102,0.13669341215828026,0.13669991634942802,0.22417765071004309,0.026850834612815733,0.02662665696210569
0.09,0.013159956672230884,0.24866611269072575,0.0002188965821890293,0.008073733743625154,0.24867927264739798,0.00021082284844540415,0.45,0.019102796273414137,0.0010241775135381224,5.996727606220397e-05,3.681609651102193e-06,2.3287221703174297e-07,0.006526240658299571,0.11198883164564369,0.111995357886302,-0.22627804560736195,-0.019042828996883056,-0.018816550951275695,0.55,-0.027224642271249988,0.0016491315955456988,-0.00010807953058555803,7.3873714199928e-06,-5.184438976974617e-07,0.006633716013931314,0.13667728104508206,0.13668391476109598,0.226496942189551,0.02711656274050821,0.02689006579831866
