2021-07-20 22:47:15: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:47:16: Time: 0
2021-07-20 22:47:16: Time: 1
2021-07-20 22:47:16: Time: 2
2021-07-20 22:47:16: Time: 3
2021-07-20 22:47:16: Time: 4
2021-07-20 22:47:16: Time: 5
2021-07-20 22:47:16: Time: 6
2021-07-20 22:47:16: Time: 7
2021-07-20 22:47:16: Time: 8
2021-07-20 22:47:16: Time: 9
2021-07-20 22:47:16: Time: 10
2021-07-20 22:47:16: Time: 11
2021-07-20 22:47:16: Time: 12
2021-07-20 22:47:16: Time: 13
2021-07-20 22:47:16: Time: 14
2021-07-20 22:47:16: Time: 15
2021-07-20 22:47:16: Time: 16
2021-07-20 22:47:17: Time: 17
2021-07-20 22:47:17: Time: 18
2021-07-20 22:47:17: Time: 19
2021-07-20 22:47:17: Time: 20
2021-07-20 22:47:17: Time: 21
2021-07-20 22:47:17: Time: 22
2021-07-20 22:47:17: Time: 23
2021-07-20 22:47:17: Time: 24
2021-07-20 22:47:17: Time: 25
2021-07-20 22:47:17: Time: 26
2021-07-20 22:47:17: Time: 27
2021-07-20 22:47:17: Time: 28
2021-07-20 22:47:17: Time: 29
2021-07-20 22:47:17: Time: 30
2021-07-20 22:47:17: Time: 31
2021-07-20 22:47:17: Time: 32
2021-07-20 22:47:17: Time: 33
2021-07-20 22:47:17: Time: 34
2021-07-20 22:47:17: Time: 35
2021-07-20 22:47:17: Time: 36
2021-07-20 22:47:17: Time: 37
2021-07-20 22:47:17: Time: 38
2021-07-20 22:47:17: Time: 39
2021-07-20 22:47:17: Time: 40
2021-07-20 22:47:17: Time: 41
2021-07-20 22:47:17: Time: 42
2021-07-20 22:47:17: Time: 43
2021-07-20 22:47:17: Time: 44
2021-07-20 22:47:17: Time: 45
2021-07-20 22:47:17: Time: 46
2021-07-20 22:47:17: Time: 47
2021-07-20 22:47:18: Time: 48
2021-07-20 22:47:18: Time: 49
2021-07-20 22:47:18: Time: 50
2021-07-20 22:47:18: Time: 51
2021-07-20 22:47:18: Time: 52
2021-07-20 22:47:18: Time: 53
2021-07-20 22:47:18: Time: 54
2021-07-20 22:47:18: Time: 55
2021-07-20 22:47:18: Time: 56
2021-07-20 22:47:18: Time: 57
2021-07-20 22:47:18: Time: 58
2021-07-20 22:47:18: Time: 59
2021-07-20 22:47:18: Time: 60
2021-07-20 22:47:18: Time: 61
2021-07-20 22:47:18: Time: 62
2021-07-20 22:47:18: Time: 63
2021-07-20 22:47:18: Time: 64
2021-07-20 22:47:18: Time: 65
2021-07-20 22:47:18: Time: 66
2021-07-20 22:47:18: Time: 67
2021-07-20 22:47:18: Time: 68
2021-07-20 22:47:18: Time: 69
2021-07-20 22:47:18: Time: 70
2021-07-20 22:47:18: Time: 71
2021-07-20 22:47:18: Time: 72
2021-07-20 22:47:18: Time: 73
2021-07-20 22:47:18: Time: 74
2021-07-20 22:47:18: Time: 75
2021-07-20 22:47:18: Time: 76
2021-07-20 22:47:18: Time: 77
2021-07-20 22:47:19: Time: 78
2021-07-20 22:47:19: Time: 79
2021-07-20 22:47:19: Time: 80
2021-07-20 22:47:19: Time: 81
2021-07-20 22:47:19: Time: 82
2021-07-20 22:47:19: Time: 83
2021-07-20 22:47:19: Time: 84
2021-07-20 22:47:19: Time: 85
2021-07-20 22:47:19: Time: 86
2021-07-20 22:47:19: Time: 87
2021-07-20 22:47:19: Time: 88
2021-07-20 22:47:19: Time: 89
2021-07-20 22:47:19: Time: 90
2021-07-20 22:47:19: Time: 91
2021-07-20 22:47:19: Time: 92
2021-07-20 22:47:19: Time: 93
2021-07-20 22:47:19: Time: 94
2021-07-20 22:47:19: Time: 95
2021-07-20 22:47:19: Time: 96
2021-07-20 22:47:19: Time: 97
2021-07-20 22:47:19: Time: 98
2021-07-20 22:47:19: Time: 99
2021-07-20 22:47:19: Time: 100
2021-07-20 22:47:19: Time: 101
