2021-07-20 22:51:07: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:51:09: Time: 0
2021-07-20 22:51:09: Time: 1
2021-07-20 22:51:09: Time: 2
2021-07-20 22:51:09: Time: 3
2021-07-20 22:51:09: Time: 4
2021-07-20 22:51:09: Time: 5
2021-07-20 22:51:09: Time: 6
2021-07-20 22:51:09: Time: 7
2021-07-20 22:51:09: Time: 8
2021-07-20 22:51:09: Time: 9
2021-07-20 22:51:09: Time: 10
2021-07-20 22:51:09: Time: 11
2021-07-20 22:51:09: Time: 12
2021-07-20 22:51:09: Time: 13
2021-07-20 22:51:09: Time: 14
2021-07-20 22:51:09: Time: 15
2021-07-20 22:51:09: Time: 16
2021-07-20 22:51:09: Time: 17
2021-07-20 22:51:09: Time: 18
2021-07-20 22:51:09: Time: 19
2021-07-20 22:51:09: Time: 20
2021-07-20 22:51:09: Time: 21
2021-07-20 22:51:09: Time: 22
2021-07-20 22:51:09: Time: 23
2021-07-20 22:51:09: Time: 24
2021-07-20 22:51:09: Time: 25
2021-07-20 22:51:09: Time: 26
2021-07-20 22:51:09: Time: 27
2021-07-20 22:51:09: Time: 28
2021-07-20 22:51:09: Time: 29
2021-07-20 22:51:09: Time: 30
2021-07-20 22:51:10: Time: 31
2021-07-20 22:51:10: Time: 32
2021-07-20 22:51:10: Time: 33
2021-07-20 22:51:10: Time: 34
2021-07-20 22:51:10: Time: 35
2021-07-20 22:51:10: Time: 36
2021-07-20 22:51:10: Time: 37
2021-07-20 22:51:10: Time: 38
2021-07-20 22:51:10: Time: 39
2021-07-20 22:51:10: Time: 40
2021-07-20 22:51:10: Time: 41
2021-07-20 22:51:10: Time: 42
2021-07-20 22:51:10: Time: 43
2021-07-20 22:51:10: Time: 44
2021-07-20 22:51:10: Time: 45
2021-07-20 22:51:10: Time: 46
2021-07-20 22:51:10: Time: 47
2021-07-20 22:51:10: Time: 48
2021-07-20 22:51:10: Time: 49
2021-07-20 22:51:10: Time: 50
2021-07-20 22:51:10: Time: 51
2021-07-20 22:51:10: Time: 52
2021-07-20 22:51:11: Time: 53
2021-07-20 22:51:11: Time: 54
2021-07-20 22:51:11: Time: 55
