2021-07-20 22:50:45: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:50:46: Time: 0
2021-07-20 22:50:46: Time: 1
2021-07-20 22:50:46: Time: 2
2021-07-20 22:50:46: Time: 3
2021-07-20 22:50:46: Time: 4
2021-07-20 22:50:46: Time: 5
2021-07-20 22:50:46: Time: 6
2021-07-20 22:50:46: Time: 7
2021-07-20 22:50:46: Time: 8
2021-07-20 22:50:46: Time: 9
2021-07-20 22:50:46: Time: 10
2021-07-20 22:50:46: Time: 11
2021-07-20 22:50:46: Time: 12
2021-07-20 22:50:46: Time: 13
2021-07-20 22:50:47: Time: 14
2021-07-20 22:50:47: Time: 15
2021-07-20 22:50:47: Time: 16
2021-07-20 22:50:47: Time: 17
2021-07-20 22:50:47: Time: 18
2021-07-20 22:50:47: Time: 19
2021-07-20 22:50:47: Time: 20
2021-07-20 22:50:47: Time: 21
2021-07-20 22:50:47: Time: 22
2021-07-20 22:50:47: Time: 23
2021-07-20 22:50:47: Time: 24
2021-07-20 22:50:47: Time: 25
2021-07-20 22:50:47: Time: 26
2021-07-20 22:50:47: Time: 27
2021-07-20 22:50:47: Time: 28
2021-07-20 22:50:47: Time: 29
2021-07-20 22:50:47: Time: 30
2021-07-20 22:50:47: Time: 31
2021-07-20 22:50:47: Time: 32
2021-07-20 22:50:47: Time: 33
2021-07-20 22:50:47: Time: 34
2021-07-20 22:50:47: Time: 35
2021-07-20 22:50:47: Time: 36
2021-07-20 22:50:47: Time: 37
2021-07-20 22:50:47: Time: 38
2021-07-20 22:50:47: Time: 39
2021-07-20 22:50:47: Time: 40
2021-07-20 22:50:47: Time: 41
2021-07-20 22:50:47: Time: 42
2021-07-20 22:50:47: Time: 43
2021-07-20 22:50:48: Time: 44
2021-07-20 22:50:48: Time: 45
2021-07-20 22:50:48: Time: 46
2021-07-20 22:50:48: Time: 47
2021-07-20 22:50:48: Time: 48
2021-07-20 22:50:48: Time: 49
2021-07-20 22:50:48: Time: 50
2021-07-20 22:50:48: Time: 51
2021-07-20 22:50:48: Time: 52
2021-07-20 22:50:48: Time: 53
2021-07-20 22:50:48: Time: 54
2021-07-20 22:50:48: Time: 55
2021-07-20 22:50:48: Time: 56
2021-07-20 22:50:48: Time: 57
2021-07-20 22:50:48: Time: 58
2021-07-20 22:50:48: Time: 59
2021-07-20 22:50:48: Time: 60
2021-07-20 22:50:48: Time: 61
2021-07-20 22:50:48: Time: 62
2021-07-20 22:50:48: Time: 63
2021-07-20 22:50:48: Time: 64
2021-07-20 22:50:48: Time: 65
2021-07-20 22:50:48: Time: 66
2021-07-20 22:50:48: Time: 67
2021-07-20 22:50:48: Time: 68
2021-07-20 22:50:48: Time: 69
2021-07-20 22:50:48: Time: 70
2021-07-20 22:50:48: Time: 71
2021-07-20 22:50:49: Time: 72
2021-07-20 22:50:49: Time: 73
2021-07-20 22:50:49: Time: 74
2021-07-20 22:50:49: Time: 75
2021-07-20 22:50:49: Time: 76
2021-07-20 22:50:49: Time: 77
2021-07-20 22:50:49: Time: 78
2021-07-20 22:50:49: Time: 79
2021-07-20 22:50:49: Time: 80
2021-07-20 22:50:49: Time: 81
2021-07-20 22:50:49: Time: 82
2021-07-20 22:50:49: Time: 83
2021-07-20 22:50:49: Time: 84
2021-07-20 22:50:49: Time: 85
2021-07-20 22:50:49: Time: 86
2021-07-20 22:50:49: Time: 87
2021-07-20 22:50:49: Time: 88
2021-07-20 22:50:49: Time: 89
2021-07-20 22:50:49: Time: 90
2021-07-20 22:50:49: Time: 91
2021-07-20 22:50:49: Time: 92
2021-07-20 22:50:49: Time: 93
2021-07-20 22:50:49: Time: 94
2021-07-20 22:50:49: Time: 95
2021-07-20 22:50:49: Time: 96
2021-07-20 22:50:49: Time: 97
2021-07-20 22:50:49: Time: 98
2021-07-20 22:50:49: Time: 99
2021-07-20 22:50:49: Time: 100
2021-07-20 22:50:50: Time: 101
2021-07-20 22:50:50: Time: 102
2021-07-20 22:50:50: Time: 103
2021-07-20 22:50:50: Time: 104
2021-07-20 22:50:50: Time: 105
2021-07-20 22:50:50: Time: 106
2021-07-20 22:50:50: Time: 107
2021-07-20 22:50:50: Time: 108
2021-07-20 22:50:50: Time: 109
2021-07-20 22:50:50: Time: 110
2021-07-20 22:50:50: Time: 111
