Time,GradE,LanE,LapC,dLan,TE,Chi,Phi_0P,Phi_1P,Phi_2P,Phi_3P,Phi_4P,Phi_5P,GradE_P,LanE_P,TE_P,LapC_P,dLan_P,Chi_P,Phi_0M,Phi_1M,Phi_2M,Phi_3M,Phi_4M,Phi_5M,GradE_M,LanE_M,TE_M,LapC_M,dLan_M,Chi_M
0.0,0.14465932859639735,0.23378126873089675,0.107835723586681,0.08040095491086728,0.23392592805949314,0.10775532263177014,0.33,0.03797178775741067,0.005585481063025973,0.000907137414883374,0.00015546407254002017,2.7563824469147945e-05,0.06663181390254413,0.07974612548661814,0.07981275730052068,-0.6233588507666992,-0.037064650280274766,-0.03644129142950807,0.67,-0.12411872608639392,0.027756852572882094,-0.00665312089369296,0.0016542781228796241,-0.0004208719579105604,0.07802751469385327,0.15403514324427867,0.15411317075897252,0.7311945743533803,0.11746560519114208,0.1167344106167887
0.01,0.14722897989273698,0.23348193697302955,0.04662141428677413,0.08104836516703372,0.2336291659529223,0.046540365921607096,0.33,0.038338099079453604,0.0056928711254118245,0.0009332472569847769,0.00016142349572265667,2.888378767371233e-05,0.06772670578977871,0.07969392031121952,0.0797616470170093,-0.7120787476355595,-0.03740485174451725,-0.03669277299688169,0.67,-0.12529552105682237,0.028282530564816236,-0.0068423041425197265,0.0017171277768735864,-0.0004409135720781745,0.07950227410295821,0.15378801666181013,0.1538675189359131,0.7587001619223337,0.11845321691155096,0.11769451674962862
0.02,0.14989420568917686,0.23317758400846492,0.024005337619090086,0.08169788505379846,0.2333274782141541,0.023923639734036287,0.33,0.038707761380161916,0.0058022697119067285,0.0009600957860188639,0.00016760888353918016,3.0266558261173222e-05,0.06888794531182649,0.07964076736492684,0.07970965531023867,-0.749747562254056,-0.03774766552129475,-0.03699791795904069,0.67,-0.12648216220481842,0.028817504676490364,-0.007036611627519918,0.0017822759271337886,-0.0004618799046579304,0.08100626037735034,0.15353681664353805,0.1536178229039154,0.773752899873146,0.11944555057509323,0.11867179767522008
0.03,0.1526304815319466,0.23286814475204393,0.014167167845943365,0.08234942760308606,0.23302077523357587,0.01408481841834028,0.33,0.039080800075059714,0.00591371096619832,0.000987702474165472,0.00017402831551591055,3.1714975167594415e-05,0.07009202870935329,0.07958665159577591,0.07965674362448526,-0.7705688357007352,-0.038093097534744165,-0.03732252869904343,0.67,-0.12767869517253252,0.02936191444486097,-0.0072361700331750305,0.0018498015147942724,-0.0004838116273430453,0.08253845282259331,0.15328149315626793,0.15336403160909054,0.7847360035466789,0.12044252513783019,0.1196577891342835
0.04,0.15543028352430707,0.232553553764553,0.00927549532560576,0.08300290308681464,0.2327089840480773,0.009192492422518945,0.33,0.03945724062453176,0.006027229957820123,0.0010160875391706668,0.00018069025842285834,3.323203991374261e-05,0.07133148470664818,0.07953155758569233,0.07960288907039897,-0.784916557237641,-0.038441153024500165,-0.03765623646726252,0.67,-0.1288851647496948,0.029915900602330858,-0.007441108637416047,0.0019197859201048083,-0.0005067510767861262,0.08409879881765886,0.1530219961788607,0.15310609497767835,0.7941920525632469,0.12144405611131477,0.12064986405875153
0.05,0.15829039305070583,0.23223374538611052,0.006563625929477845,0.08365821885924261,0.23239203577916123,0.006479967710618603,0.33,0.039837108527972946,0.006142862459470604,0.0010452718186585227,0.00018760352085109796,3.4820903798247284e-05,0.07260289898428149,0.07947546965047458,0.07954807254945886,-0.7964559010631752,-0.038791836652386946,-0.03799538075132377,0.67,-0.13010161483858818,0.030479605036295578,-0.007651559326449463,0.0019923130151357675,-0.0005307423110976848,0.08568749406642429,0.152758275735636,0.15284396322970242,0.8030195269926528,0.12245005551162956,0.12164703598463691
0.06,0.16120929713728846,0.23190865380242445,0.0049211080785600825,0.08431527927231798,0.23206986309956174,0.004836792799287765,0.33,0.04022042931821473,0.006260644871999577,0.0010752767341599934,0.00019477724427693365,3.648486752497895e-05,0.07390446208547378,0.07941837187506685,0.07949227633715233,-0.8066582851305489,-0.039145152530081474,-0.03833849424495093,0.67,-0.13132808841845175,0.031053170755850682,-0.00786765661592104,0.0020674692211317667,-0.0005558311698261391,0.08730483505181473,0.15249028192735747,0.1525775867624093,0.8115793932091094,0.12346043180239945,0.12264885240919034
0.07,0.1641863341573089,0.23157821309259244,0.0038529243815116354,0.0849739856128589,0.23174239942674973,0.0037679503958987764,0.33,0.04060722855599584,0.006380614191596989,0.001106124280695592,0.00020222090457974832,3.8227384463724134e-05,0.07523516367878076,0.0793602481303441,0.07943548329402289,-0.8161800205785587,-0.03950110422359319,-0.03868492420301463,0.67,-0.1325646275092997,0.03163674185926249,-0.008089537673041838,0.0021453435675187326,-0.0005820653360609917,0.08895117047852807,0.15221796496224832,0.15230691613272684,0.8200329449600702,0.12447508983645211,0.12365505689149205
0.08,0.16722132701701833,0.23124235727024192,0.0031178742437811546,0.08563423604940265,0.23140957859725894,0.003032240007731752,0.33,0.04099753182437875,0.006502807993705286,0.001137837026528726,0.00020994431782046823,4.0052065469163106e-05,0.0765944466317767,0.07930108208260028,0.07937767652923206,-0.8253412803998974,-0.03985969474791444,-0.03903435346751454,0.67,-0.13381127313515565,0.03223046350062024,-0.008317342338321954,0.0022260277518080344,-0.0006094944003405377,0.0906268803852417,0.15194127518764183,0.15203190206802708,0.8284591546436786,0.1254939307973171,0.12466547164267343
0.09,0.17031439912944454,0.2309010203220828,0.0025889431302128507,0.08629592558436448,0.23107133472121225,0.0025026472046284862,0.33,0.04139136472306237,0.006627264424879209,0.0011704381178358327,0.00021795764818607023,4.1962684565914184e-05,0.0779820334914504,0.07924085719960484,0.0793188392330963,-0.8343110311505585,-0.04022092655669516,-0.0393866155255446,0.67,-0.13506806528670356,0.03283448185509417,-0.008551213146390868,0.0023096162001007047,-0.0006381699262567567,0.09233236563799412,0.15166016312247793,0.15175249548811592,0.8368999742807717,0.12651685214105968,0.1256799521667789
0.1,0.17346587252344678,0.23055413624562415,0.002194531750985551,0.086958946009636,0.2307276021181476,0.002107572804975915,0.33,0.041788752862562645,0.006754022198844327,0.0012039512860658943,0.00022627141722175972,4.396318521517354e-05,0.07939783043399212,0.07917955675488132,0.07925895458531532,-0.8431848662285004,-0.040584801529088506,-0.03974161666286,0.67,-0.1363350428833635,0.03344894408252799,-0.008791295345631066,0.0023962061280282617,-0.0006681455177101236,0.09406804208945467,0.15137457949074293,0.15146864753283237,0.8453793979794862,0.12754374753872447,0.12669836814074498
0.11,0.17667620736660536,0.23020163908691735,0.0018918281605022694,0.08762318586474892,0.23037831529428396,0.0018042049746375204,0.33,0.042189721858243226,0.006883120594922275,0.0012384008569078008,0.00023489651392988626,4.6057687030981506e-05,0.0808418702761802,0.07911716383101947,0.07919800570129565,-0.8520202686472286,-0.04095132095482949,-0.04009930068618226,0.67,-0.13761224373479833,0.0340739982892112,-0.009037736916443927,0.0024858976020141377,-0.0006994768877873764,0.09583433709042512,0.1510844752558978,0.15118030959298823,0.853912096807731,0.12857450681957838,0.12772059472277064
0.12,0.17994596410048105,0.2298434629787814,0.0016539192202637693,0.08828853039718927,0.23002340894288187,0.00156563068986658,0.33,0.042594297324184405,0.007014599457842271,0.0012738117602899843,0.00024384420551557432,4.82504928808858e-05,0.08231427681565517,0.07905366132245598,0.07913597559927163,-0.8608536782403973,-0.041320485518113334,-0.04045963183987294,0.67,-0.13889970450186256,0.034709793487728006,-0.009290688588006376,0.002578793600758024,-0.0007322219292420296,0.09763168728482588,0.15078980165632538,0.1508874333436102,0.8625075974606612,0.12960901591530263,0.12874650831784198
0.13,0.1832757786872004,0.2294795421797837,0.0014631616958260887,0.08895486152467445,0.2296628179584709,0.0013742068343014142,0.33,0.043002504866881376,0.0071484991983770205,0.0013102095410842942,0.00025312614865692076,5.054609633825483e-05,0.08381524153933485,0.078989031937974,0.07907284717951334,-0.8697092693990232,-0.041692295280595544,-0.040822586011196524,0.67,-0.14019746065700275,0.035356479554806385,-0.009550303853394912,0.0026750000768518997,-0.0007664407865585834,0.09946053714786546,0.1504905102418097,0.15058997077895758,0.8711724310948493,0.13064715680526998,0.12977598437417512
0.14,0.18666634583408698,0.22910981111413128,0.001307577476658224,0.08962205779932801,0.22929647745996537,0.001217955418858896,0.33,0.043414370078764926,0.007284860794462472,0.001347620370316337,0.00026275440122892516,5.2949189470565496e-05,0.08534500785873526,0.07892325820307433,0.07900860321093307,-0.8786037242081396,-0.04206674966370568,-0.041188145939497545,0.67,-0.14150554644412217,0.03601420718710457,-0.009816738982961948,0.0027746260184375307,-0.0008021959295798878,0.10132133797535173,0.15018655291105695,0.1502878742490323,0.8799113016847979,0.1316888074630337,0.13080889616134891
0.15,0.19011840727150192,0.22873420441257858,0.0011787923148027651,0.09028999437375658,0.2289243228198501,0.0010885023204290085,0.33,0.0438299185315394,0.007423725792584776,0.0013860710567569917,0.0002727414344387791,5.5464670957519765e-05,0.08690386011382693,0.07885632246231568,0.0789432263224295,-0.8875489616979075,-0.04244384743039593,-0.041556298468698016,0.67,-0.14282399483792368,0.03668312785488093,-0.01009015303585318,0.0028777835108135096,-0.0008395522286741831,0.1032145471576749,0.1498778819502629,0.14998109649742056,0.888727754012711,0.13273384180415254,0.13184511405013982
0.16,0.19363274334204747,0.22835265695441484,0.001070803780636391,0.090958542969075,0.2285462896977569,0.000979845237667316,0.33,0.04424917576933205,0.007565136309290371,0.0014255890588120313,0.0002831001453466433,5.809765453843904e-05,0.0884921157027706,0.07878820688168987,0.07887669899739265,-0.8965537691034277,-0.042823586666402534,-0.041927032897299106,0.67,-0.14415283750274424,0.03736339375349844,-0.010370707869555875,0.0029845877978967373,-0.0008785770314145316,0.10514062763927706,0.14956445007272487,0.14966959070036415,0.8976245728840639,0.1337821296354775,0.13288450506259344
0.17,0.19721016682395892,0.22796510391057798,0.00097921605811873,0.091627571844952,0.22816231407740192,0.0008875884862737781,0.33,0.04467216730165048,0.007709135032719299,0.0014662024966522308,0.0002938438697559458,6.0853477791817566e-05,0.09011011932172003,0.07871889345107778,0.07880900357039951,-0.9056248149884791,-0.043205964761074155,-0.042300339946085674,0.67,-0.14549210475089785,0.038055157752719046,-0.0106585681473678,0.0030951573434391593,-0.000919340240738914,0.10710004750223891,0.14924621045950015,0.1493533105070024,0.9066040310465978,0.13483353660602618,0.1339269325749796
0.18,0.20085151830044337,0.22757148078792053,0.0009007488034105046,0.09229694577176689,0.22777233230622096,0.0008084518576387378,0.33,0.045098918596143726,0.007855765224089628,0.0015079401645422179,0.000304986395463365,6.373771125210818e-05,0.09175823866568847,0.07864836398681949,0.07874012222548517,-0.914767299498849,-0.0435909783878047,-0.042676211088305854,0.67,-0.1468418255005436,0.038758573343745974,-0.0109539013436759,0.003209613891895975,-0.0009619143945543835,0.10909327963475507,0.1489231168011009,0.14903221008073567,0.9156680483022599,0.13588792415957157,0.1349722561112693
