2021-07-20 22:50:03: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:50:04: Time: 0
2021-07-20 22:50:04: Time: 1
2021-07-20 22:50:04: Time: 2
2021-07-20 22:50:04: Time: 3
2021-07-20 22:50:04: Time: 4
2021-07-20 22:50:04: Time: 5
2021-07-20 22:50:04: Time: 6
2021-07-20 22:50:04: Time: 7
2021-07-20 22:50:04: Time: 8
2021-07-20 22:50:04: Time: 9
2021-07-20 22:50:04: Time: 10
2021-07-20 22:50:04: Time: 11
2021-07-20 22:50:04: Time: 12
2021-07-20 22:50:04: Time: 13
2021-07-20 22:50:04: Time: 14
2021-07-20 22:50:04: Time: 15
2021-07-20 22:50:04: Time: 16
2021-07-20 22:50:04: Time: 17
2021-07-20 22:50:04: Time: 18
2021-07-20 22:50:04: Time: 19
2021-07-20 22:50:04: Time: 20
2021-07-20 22:50:04: Time: 21
2021-07-20 22:50:04: Time: 22
2021-07-20 22:50:05: Time: 23
2021-07-20 22:50:05: Time: 24
2021-07-20 22:50:05: Time: 25
2021-07-20 22:50:05: Time: 26
2021-07-20 22:50:05: Time: 27
2021-07-20 22:50:05: Time: 28
2021-07-20 22:50:05: Time: 29
2021-07-20 22:50:05: Time: 30
2021-07-20 22:50:05: Time: 31
2021-07-20 22:50:05: Time: 32
2021-07-20 22:50:05: Time: 33
2021-07-20 22:50:05: Time: 34
2021-07-20 22:50:05: Time: 35
2021-07-20 22:50:05: Time: 36
2021-07-20 22:50:05: Time: 37
2021-07-20 22:50:05: Time: 38
2021-07-20 22:50:05: Time: 39
2021-07-20 22:50:05: Time: 40
2021-07-20 22:50:05: Time: 41
2021-07-20 22:50:05: Time: 42
2021-07-20 22:50:05: Time: 43
2021-07-20 22:50:05: Time: 44
2021-07-20 22:50:05: Time: 45
2021-07-20 22:50:05: Time: 46
2021-07-20 22:50:05: Time: 47
2021-07-20 22:50:05: Time: 48
2021-07-20 22:50:05: Time: 49
2021-07-20 22:50:05: Time: 50
2021-07-20 22:50:06: Time: 51
2021-07-20 22:50:06: Time: 52
2021-07-20 22:50:06: Time: 53
2021-07-20 22:50:06: Time: 54
2021-07-20 22:50:06: Time: 55
2021-07-20 22:50:06: Time: 56
2021-07-20 22:50:06: Time: 57
2021-07-20 22:50:06: Time: 58
2021-07-20 22:50:06: Time: 59
2021-07-20 22:50:06: Time: 60
2021-07-20 22:50:06: Time: 61
2021-07-20 22:50:06: Time: 62
2021-07-20 22:50:06: Time: 63
2021-07-20 22:50:06: Time: 64
2021-07-20 22:50:06: Time: 65
2021-07-20 22:50:06: Time: 66
2021-07-20 22:50:06: Time: 67
2021-07-20 22:50:06: Time: 68
2021-07-20 22:50:06: Time: 69
2021-07-20 22:50:06: Time: 70
2021-07-20 22:50:06: Time: 71
2021-07-20 22:50:06: Time: 72
2021-07-20 22:50:06: Time: 73
2021-07-20 22:50:06: Time: 74
2021-07-20 22:50:06: Time: 75
2021-07-20 22:50:06: Time: 76
2021-07-20 22:50:07: Time: 77
2021-07-20 22:50:07: Time: 78
2021-07-20 22:50:07: Time: 79
2021-07-20 22:50:07: Time: 80
2021-07-20 22:50:07: Time: 81
2021-07-20 22:50:07: Time: 82
2021-07-20 22:50:07: Time: 83
2021-07-20 22:50:07: Time: 84
2021-07-20 22:50:07: Time: 85
2021-07-20 22:50:07: Time: 86
2021-07-20 22:50:07: Time: 87
2021-07-20 22:50:07: Time: 88
2021-07-20 22:50:07: Time: 89
2021-07-20 22:50:07: Time: 90
2021-07-20 22:50:07: Time: 91
2021-07-20 22:50:07: Time: 92
2021-07-20 22:50:07: Time: 93
2021-07-20 22:50:07: Time: 94
2021-07-20 22:50:07: Time: 95
2021-07-20 22:50:07: Time: 96
2021-07-20 22:50:07: Time: 97
2021-07-20 22:50:07: Time: 98
2021-07-20 22:50:07: Time: 99
2021-07-20 22:50:07: Time: 100
2021-07-20 22:50:07: Time: 101
2021-07-20 22:50:07: Time: 102
2021-07-20 22:50:08: Time: 103
2021-07-20 22:50:08: Time: 104
2021-07-20 22:50:08: Time: 105
2021-07-20 22:50:08: Time: 106
2021-07-20 22:50:08: Time: 107
2021-07-20 22:50:08: Time: 108
2021-07-20 22:50:08: Time: 109
2021-07-20 22:50:08: Time: 110
2021-07-20 22:50:08: Time: 111
2021-07-20 22:50:08: Time: 112
2021-07-20 22:50:08: Time: 113
2021-07-20 22:50:08: Time: 114
2021-07-20 22:50:08: Time: 115
2021-07-20 22:50:08: Time: 116
2021-07-20 22:50:08: Time: 117
2021-07-20 22:50:08: Time: 118
2021-07-20 22:50:08: Time: 119
2021-07-20 22:50:08: Time: 120
2021-07-20 22:50:08: Time: 121
2021-07-20 22:50:08: Time: 122
2021-07-20 22:50:08: Time: 123
2021-07-20 22:50:08: Time: 124
2021-07-20 22:50:08: Time: 125
2021-07-20 22:50:08: Time: 126
2021-07-20 22:50:08: Time: 127
2021-07-20 22:50:08: Time: 128
2021-07-20 22:50:09: Time: 129
2021-07-20 22:50:09: Time: 130
2021-07-20 22:50:09: Time: 131
2021-07-20 22:50:09: Time: 132
