2021-07-20 22:49:40: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:49:41: Time: 0
2021-07-20 22:49:42: Time: 1
2021-07-20 22:49:42: Time: 2
2021-07-20 22:49:42: Time: 3
2021-07-20 22:49:42: Time: 4
2021-07-20 22:49:42: Time: 5
2021-07-20 22:49:42: Time: 6
2021-07-20 22:49:42: Time: 7
2021-07-20 22:49:42: Time: 8
2021-07-20 22:49:42: Time: 9
2021-07-20 22:49:42: Time: 10
2021-07-20 22:49:42: Time: 11
2021-07-20 22:49:42: Time: 12
2021-07-20 22:49:42: Time: 13
2021-07-20 22:49:42: Time: 14
2021-07-20 22:49:42: Time: 15
2021-07-20 22:49:42: Time: 16
2021-07-20 22:49:42: Time: 17
2021-07-20 22:49:42: Time: 18
2021-07-20 22:49:42: Time: 19
2021-07-20 22:49:42: Time: 20
2021-07-20 22:49:42: Time: 21
2021-07-20 22:49:42: Time: 22
2021-07-20 22:49:42: Time: 23
2021-07-20 22:49:42: Time: 24
2021-07-20 22:49:42: Time: 25
2021-07-20 22:49:42: Time: 26
2021-07-20 22:49:42: Time: 27
2021-07-20 22:49:42: Time: 28
2021-07-20 22:49:42: Time: 29
2021-07-20 22:49:43: Time: 30
2021-07-20 22:49:43: Time: 31
2021-07-20 22:49:43: Time: 32
2021-07-20 22:49:43: Time: 33
2021-07-20 22:49:43: Time: 34
2021-07-20 22:49:43: Time: 35
2021-07-20 22:49:43: Time: 36
2021-07-20 22:49:43: Time: 37
2021-07-20 22:49:43: Time: 38
2021-07-20 22:49:43: Time: 39
2021-07-20 22:49:43: Time: 40
2021-07-20 22:49:43: Time: 41
2021-07-20 22:49:43: Time: 42
2021-07-20 22:49:43: Time: 43
2021-07-20 22:49:43: Time: 44
2021-07-20 22:49:43: Time: 45
2021-07-20 22:49:43: Time: 46
2021-07-20 22:49:43: Time: 47
2021-07-20 22:49:43: Time: 48
2021-07-20 22:49:43: Time: 49
2021-07-20 22:49:43: Time: 50
2021-07-20 22:49:43: Time: 51
2021-07-20 22:49:43: Time: 52
2021-07-20 22:49:43: Time: 53
2021-07-20 22:49:43: Time: 54
2021-07-20 22:49:43: Time: 55
2021-07-20 22:49:43: Time: 56
2021-07-20 22:49:44: Time: 57
2021-07-20 22:49:44: Time: 58
2021-07-20 22:49:44: Time: 59
2021-07-20 22:49:44: Time: 60
2021-07-20 22:49:44: Time: 61
2021-07-20 22:49:44: Time: 62
2021-07-20 22:49:44: Time: 63
2021-07-20 22:49:44: Time: 64
2021-07-20 22:49:44: Time: 65
2021-07-20 22:49:44: Time: 66
2021-07-20 22:49:44: Time: 67
2021-07-20 22:49:44: Time: 68
2021-07-20 22:49:44: Time: 69
2021-07-20 22:49:44: Time: 70
2021-07-20 22:49:44: Time: 71
2021-07-20 22:49:44: Time: 72
2021-07-20 22:49:44: Time: 73
2021-07-20 22:49:44: Time: 74
2021-07-20 22:49:44: Time: 75
2021-07-20 22:49:44: Time: 76
2021-07-20 22:49:44: Time: 77
2021-07-20 22:49:44: Time: 78
2021-07-20 22:49:44: Time: 79
2021-07-20 22:49:44: Time: 80
2021-07-20 22:49:44: Time: 81
2021-07-20 22:49:44: Time: 82
2021-07-20 22:49:45: Time: 83
2021-07-20 22:49:45: Time: 84
2021-07-20 22:49:45: Time: 85
2021-07-20 22:49:45: Time: 86
2021-07-20 22:49:45: Time: 87
2021-07-20 22:49:45: Time: 88
2021-07-20 22:49:45: Time: 89
2021-07-20 22:49:45: Time: 90
2021-07-20 22:49:45: Time: 91
2021-07-20 22:49:45: Time: 92
2021-07-20 22:49:45: Time: 93
2021-07-20 22:49:45: Time: 94
2021-07-20 22:49:45: Time: 95
2021-07-20 22:49:45: Time: 96
2021-07-20 22:49:45: Time: 97
2021-07-20 22:49:45: Time: 98
2021-07-20 22:49:45: Time: 99
2021-07-20 22:49:45: Time: 100
2021-07-20 22:49:45: Time: 101
2021-07-20 22:49:45: Time: 102
2021-07-20 22:49:45: Time: 103
2021-07-20 22:49:45: Time: 104
2021-07-20 22:49:45: Time: 105
2021-07-20 22:49:45: Time: 106
2021-07-20 22:49:45: Time: 107
2021-07-20 22:49:46: Time: 108
2021-07-20 22:49:46: Time: 109
2021-07-20 22:49:46: Time: 110
2021-07-20 22:49:46: Time: 111
2021-07-20 22:49:46: Time: 112
2021-07-20 22:49:46: Time: 113
2021-07-20 22:49:46: Time: 114
2021-07-20 22:49:46: Time: 115
2021-07-20 22:49:46: Time: 116
2021-07-20 22:49:46: Time: 117
2021-07-20 22:49:46: Time: 118
2021-07-20 22:49:46: Time: 119
2021-07-20 22:49:46: Time: 120
2021-07-20 22:49:46: Time: 121
2021-07-20 22:49:46: Time: 122
2021-07-20 22:49:46: Time: 123
2021-07-20 22:49:46: Time: 124
2021-07-20 22:49:46: Time: 125
2021-07-20 22:49:46: Time: 126
2021-07-20 22:49:46: Time: 127
2021-07-20 22:49:46: Time: 128
2021-07-20 22:49:46: Time: 129
2021-07-20 22:49:46: Time: 130
2021-07-20 22:49:46: Time: 131
2021-07-20 22:49:46: Time: 132
2021-07-20 22:49:46: Time: 133
2021-07-20 22:49:46: Time: 134
2021-07-20 22:49:47: Time: 135
2021-07-20 22:49:47: Time: 136
2021-07-20 22:49:47: Time: 137
2021-07-20 22:49:47: Time: 138
2021-07-20 22:49:47: Time: 139
2021-07-20 22:49:47: Time: 140
2021-07-20 22:49:47: Time: 141
2021-07-20 22:49:47: Time: 142
2021-07-20 22:49:47: Time: 143
2021-07-20 22:49:47: Time: 144
2021-07-20 22:49:47: Time: 145
2021-07-20 22:49:47: Time: 146
2021-07-20 22:49:47: Time: 147
2021-07-20 22:49:47: Time: 148
2021-07-20 22:49:47: Time: 149
2021-07-20 22:49:47: Time: 150
2021-07-20 22:49:47: Time: 151
2021-07-20 22:49:47: Time: 152
2021-07-20 22:49:47: Time: 153
2021-07-20 22:49:47: Time: 154
2021-07-20 22:49:47: Time: 155
2021-07-20 22:49:47: Time: 156
2021-07-20 22:49:48: Time: 157
2021-07-20 22:49:48: Time: 158
2021-07-20 22:49:48: Time: 159
2021-07-20 22:49:48: Time: 160
2021-07-20 22:49:48: Time: 161
2021-07-20 22:49:48: Time: 162
2021-07-20 22:49:48: Time: 163
2021-07-20 22:49:48: Time: 164
2021-07-20 22:49:48: Time: 165
2021-07-20 22:49:48: Time: 166
2021-07-20 22:49:48: Time: 167
2021-07-20 22:49:48: Time: 168
2021-07-20 22:49:48: Time: 169
2021-07-20 22:49:48: Time: 170
2021-07-20 22:49:48: Time: 171
2021-07-20 22:49:48: Time: 172
2021-07-20 22:49:48: Time: 173
2021-07-20 22:49:48: Time: 174
2021-07-20 22:49:48: Time: 175
2021-07-20 22:49:48: Time: 176
2021-07-20 22:49:48: Time: 177
2021-07-20 22:49:49: Time: 178
2021-07-20 22:49:49: Time: 179
2021-07-20 22:49:49: Time: 180
2021-07-20 22:49:49: Time: 181
2021-07-20 22:49:49: Time: 182
2021-07-20 22:49:49: Time: 183
2021-07-20 22:49:49: Time: 184
2021-07-20 22:49:49: Time: 185
2021-07-20 22:49:49: Time: 186
2021-07-20 22:49:49: Time: 187
2021-07-20 22:49:49: Time: 188
2021-07-20 22:49:49: Time: 189
2021-07-20 22:49:49: Time: 190
2021-07-20 22:49:49: Time: 191
2021-07-20 22:49:49: Time: 192
2021-07-20 22:49:49: Time: 193
2021-07-20 22:49:49: Time: 194
2021-07-20 22:49:49: Time: 195
2021-07-20 22:49:49: Time: 196
2021-07-20 22:49:49: Time: 197
2021-07-20 22:49:49: Time: 198
2021-07-20 22:49:49: Time: 199
2021-07-20 22:49:49: Time: 200
2021-07-20 22:49:49: Time: 201
2021-07-20 22:49:50: Time: 202
2021-07-20 22:49:50: Time: 203
2021-07-20 22:49:50: Time: 204
2021-07-20 22:49:50: Time: 205
2021-07-20 22:49:50: Time: 206
2021-07-20 22:49:50: Time: 207
2021-07-20 22:49:50: Time: 208
2021-07-20 22:49:50: Time: 209
2021-07-20 22:49:50: Time: 210
2021-07-20 22:49:50: Time: 211
2021-07-20 22:49:50: Time: 212
2021-07-20 22:49:50: Time: 213
2021-07-20 22:49:50: Time: 214
2021-07-20 22:49:50: Time: 215
2021-07-20 22:49:50: Time: 216
2021-07-20 22:49:50: Time: 217
2021-07-20 22:49:50: Time: 218
2021-07-20 22:49:50: Time: 219
2021-07-20 22:49:50: Time: 220
2021-07-20 22:49:50: Time: 221
2021-07-20 22:49:50: Time: 222
2021-07-20 22:49:50: Time: 223
2021-07-20 22:49:50: Time: 224
2021-07-20 22:49:50: Time: 225
2021-07-20 22:49:51: Time: 226
2021-07-20 22:49:51: Time: 227
2021-07-20 22:49:51: Time: 228
2021-07-20 22:49:51: Time: 229
2021-07-20 22:49:51: Time: 230
2021-07-20 22:49:51: Time: 231
2021-07-20 22:49:51: Time: 232
2021-07-20 22:49:51: Time: 233
2021-07-20 22:49:51: Time: 234
2021-07-20 22:49:51: Time: 235
2021-07-20 22:49:51: Time: 236
2021-07-20 22:49:51: Time: 237
2021-07-20 22:49:51: Time: 238
2021-07-20 22:49:51: Time: 239
2021-07-20 22:49:51: Time: 240
2021-07-20 22:49:51: Time: 241
2021-07-20 22:49:51: Time: 242
2021-07-20 22:49:51: Time: 243
2021-07-20 22:49:51: Time: 244
2021-07-20 22:49:51: Time: 245
2021-07-20 22:49:51: Time: 246
2021-07-20 22:49:51: Time: 247
2021-07-20 22:49:51: Time: 248
2021-07-20 22:49:51: Time: 249
2021-07-20 22:49:52: Time: 250
2021-07-20 22:49:52: Time: 251
2021-07-20 22:49:52: Time: 252
2021-07-20 22:49:52: Time: 253
2021-07-20 22:49:52: Time: 254
2021-07-20 22:49:52: Time: 255
2021-07-20 22:49:52: Time: 256
2021-07-20 22:49:52: Time: 257
2021-07-20 22:49:52: Time: 258
2021-07-20 22:49:52: Time: 259
2021-07-20 22:49:52: Time: 260
2021-07-20 22:49:52: Time: 261
2021-07-20 22:49:52: Time: 262
2021-07-20 22:49:52: Time: 263
2021-07-20 22:49:52: Time: 264
