Time,GradE,LanE,LapC,dLan,TE,Chi,Phi_0P,Phi_1P,Phi_2P,Phi_3P,Phi_4P,Phi_5P,GradE_P,LanE_P,TE_P,LapC_P,dLan_P,Chi_P,Phi_0M,Phi_1M,Phi_2M,Phi_3M,Phi_4M,Phi_5M,GradE_M,LanE_M,TE_M,LapC_M,dLan_M,Chi_M
0.0,0.2424361020161533,0.22643786840579513,0.038848514062105155,0.028417606977355386,0.2266803045078113,0.0388200964551278,0.45,0.0832372825994077,0.019239767089480348,0.00485553123863044,0.0012847616233352705,0.00035024214417159145,0.11855918214007945,0.1032013068610904,0.10331986604323048,-0.8571751332060885,-0.07838175130201763,-0.07752457616881155,0.55,-0.11511517272749723,0.029739725334192904,-0.008315814424158026,0.0024256968472093675,-0.0007266288363998422,0.1238769198760738,0.12323656154470486,0.12336043846458093,0.8960236472681936,0.10679935827937308,0.10590333463210488
0.01,0.2467368219024493,0.22601873268531097,0.01678452276568909,0.028609881226659806,0.22626546950721343,0.01675591288446243,0.45,0.08401772774603616,0.019598571810116185,0.004991038552820215,0.001332535892904795,0.0003665274907479318,0.12063208060437941,0.1030338480681638,0.10315448014876819,-0.9324517736734453,-0.07902668911915026,-0.07809423734547681,0.55,-0.11618171668581838,0.03028766368323395,-0.008545146308868476,0.0025148658350617257,-0.0007600449242130655,0.12610474129806998,0.12298488461714698,0.12311098935844504,0.9492362964391347,0.10763657034581006,0.10668733404937093
0.02,0.25115401164372836,0.22559311559617334,0.008635028709394615,0.028801750220360633,0.22584426960781706,0.008606226959174255,0.45,0.08480455231764006,0.019963574684257003,0.0051301266139017485,0.0013820123565798641,0.0003835439376990337,0.12277063581604104,0.10286371574701267,0.10298648638282872,-0.9664615888060804,-0.07967442563506752,-0.07870796404626144,0.55,-0.1172565587590682,0.030844770453937922,-0.008780382875243273,0.0026071403045233657,-0.0007949304307743211,0.12838337582768738,0.12272939984916062,0.1228577832249883,0.9750966175154752,0.10847617585542814,0.10750107923791266
0.03,0.2556660948098143,0.22516095192928534,0.005091043043982224,0.02899316135443104,0.22541661802409516,0.005062049882627793,0.45,0.08559778274881957,0.020334863840884253,0.005272879979020728,0.001433247021771594,0.00040132233048401734,0.1249596737432105,0.10269087983499761,0.10281583950874082,-0.9868807719968875,-0.08032490270805426,-0.07933802193605737,0.55,-0.11833972080325052,0.0314111651702273,-0.009021656715839476,0.002702618717609937,-0.0008313455062996557,0.13070642106660393,0.12247007209428779,0.12260077851535439,0.9919718150408698,0.10931806406248536,0.10832609224744448
0.04,0.2602666448489636,0.22472217691775517,0.0033295137900984373,0.029184061064203824,0.22498244356260413,0.0033003297290342334,0.45,0.0863974448589384,0.020712528284307412,0.005419385043299866,0.0014862976751111843,0.0004198947903679632,0.12719453551398519,0.1025153102766214,0.1026425048121354,-1.002101768692617,-0.08097805975940083,-0.07997595799070821,0.55,-0.1194312235234863,0.03198696783676604,-0.009269102677749361,0.0028014022380707603,-0.000869352540209794,0.13307210933497834,0.12220686664113374,0.12233993875046872,1.0054312824827154,0.11016212082360462,0.1091566895411219
0.05,0.2649530789589849,0.22427672636710783,0.0023532822431146794,0.02937439476423324,0.22454167944606682,0.002323907848350446,0.45,0.08720356382855772,0.021096657722732354,0.005569729913942114,0.0015412238343342993,0.0004392947118024802,0.12947322892588492,0.10233697709721502,0.1024664503261409,-1.0150890126290721,-0.08163383386253621,-0.08061874484990714,0.55,-0.1205310864402392,0.03257229882596475,-0.009522857793490097,0.002903594731503713,-0.0009090162009348567,0.13547985003310004,0.12193974926989276,0.12207522911992585,1.017442294872187,0.11100822862676946,0.10999078633189727
0.06,0.2697243386799841,0.2238245367374484,0.0017622013620166022,0.029564106830282683,0.22409426107612837,0.0017326372551863195,0.45,0.08801616417598383,0.021487342492986936,0.005724004372696513,0.0015980867549143993,0.00045955678859757886,0.13179481864102777,0.102155850442233,0.10228764526087404,-1.0270324266683382,-0.08229215975439816,-0.08126512732772982,0.55,-0.12163932785547565,0.033167278806102964,-0.00978306125251022,0.003009302793070598,-0.0009504034922418255,0.13792952003895628,0.12166868629521545,0.1218066158152544,1.028794628030355,0.11185626658468086,0.1108274719566505
0.07,0.2745801261296665,0.2233655452126146,0.0013779280156319684,0.02975314059450449,0.22364012533874425,0.0013481748750374639,0.45,0.0888352697337064,0.021884673512048605,0.005882299862773863,0.0016569494521509768,0.00048071704876302717,0.13415889620731541,0.10197190060701153,0.10210605950321884,-1.0384627852133863,-0.08295296982455734,-0.08191450703934396,0.55,-0.12275596481866713,0.03377202867997629,-0.010049854382698037,0.003118635782367318,-0.0009935838147242168,0.1404212299223511,0.12139364460560306,0.12153406583552541,1.0398407132290186,0.11270611041906183,0.11166626970583281
0.08,0.2795205754229935,0.22289968976484884,0.0011135796909112483,0.029941438346905953,0.22317921034027183,0.0010836382525643423,0.45,0.08966090362463908,0.02228874223855277,0.0060447094848066,0.0017178767292978824,0.0005028128932393705,0.13656535211571733,0.10178509806304628,0.101921663415162,-1.0496391187570202,-0.08361619409548836,-0.08256655497673134,0.55,-0.12388101309260903,0.03438666952663552,-0.010323380634459745,0.003231705860483605,-0.0010386290297096621,0.142955223307276,0.12111459170180253,0.1212575469251098,1.0507526984479316,0.11355763244239432,0.1125068797439464
0.09,0.2845460875017252,0.22242690921794472,0.0009234131031241877,0.03012894134061278,0.22271145530544645,0.0008932841617835749,0.45,0.09049308823812305,0.02269964063845993,0.006211327996540053,0.0017809352084986957,0.0005258831368958194,0.13901426125762417,0.10159541348289301,0.10173442774415063,-1.0606982529206144,-0.08428176019891424,-0.08322106194599363,0.55,-0.12501448711905544,0.035011322543640165,-0.010603785564761783,0.0033486280274891297,-0.001085613524611415,0.145531826244101,0.12083149573505166,0.12097702756129576,1.0616216660237388,0.11441070153952702,0.11334907987350329
