2021-07-20 22:51:56: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:52:04: Time: 164
2021-07-20 22:52:04: Time: 165
2021-07-20 22:52:04: Time: 166
2021-07-20 22:52:04: Time: 167
2021-07-20 22:52:04: Time: 168
2021-07-20 22:52:04: Time: 169
2021-07-20 22:52:04: Time: 170
2021-07-20 22:52:04: Time: 171
2021-07-20 22:52:04: Time: 172
2021-07-20 22:52:04: Time: 173
2021-07-20 22:52:04: Time: 174
2021-07-20 22:52:04: Time: 175
2021-07-20 22:52:04: Time: 176
2021-07-20 22:52:04: Time: 177
2021-07-20 22:52:04: Time: 178
2021-07-20 22:52:04: Time: 179
2021-07-20 22:52:04: Time: 180
2021-07-20 22:52:05: Time: 181
2021-07-20 22:52:05: Time: 182
2021-07-20 22:52:05: Time: 183
2021-07-20 22:52:05: Time: 184
2021-07-20 22:52:05: Time: 185
2021-07-20 22:52:05: Time: 186
2021-07-20 22:52:05: Time: 187
2021-07-20 22:52:05: Time: 188
2021-07-20 22:52:05: Time: 189
2021-07-20 22:52:05: Time: 190
2021-07-20 22:52:05: Time: 191
2021-07-20 22:52:05: Time: 192
2021-07-20 22:52:05: Time: 193
2021-07-20 22:52:05: Time: 194
2021-07-20 22:52:05: Time: 195
2021-07-20 22:52:05: Time: 196
2021-07-20 22:52:05: Time: 197
2021-07-20 22:52:05: Time: 198
2021-07-20 22:52:05: Time: 199
2021-07-20 22:52:05: Time: 200
2021-07-20 22:52:05: Time: 201
2021-07-20 22:52:05: Time: 202
2021-07-20 22:52:05: Time: 203
2021-07-20 22:52:05: Time: 204
2021-07-20 22:52:05: Time: 205
2021-07-20 22:52:05: Time: 206
2021-07-20 22:52:06: Time: 207
2021-07-20 22:52:06: Time: 208
2021-07-20 22:52:06: Time: 209
2021-07-20 22:52:06: Time: 210
2021-07-20 22:52:06: Time: 211
2021-07-20 22:52:06: Time: 212
2021-07-20 22:52:06: Time: 213
2021-07-20 22:52:06: Time: 214
2021-07-20 22:52:06: Time: 215
2021-07-20 22:52:06: Time: 216
2021-07-20 22:52:06: Time: 217
2021-07-20 22:52:06: Time: 218
2021-07-20 22:52:06: Time: 219
2021-07-20 22:52:06: Time: 220
2021-07-20 22:52:06: Time: 221
2021-07-20 22:52:06: Time: 222
2021-07-20 22:52:06: Time: 223
2021-07-20 22:52:06: Time: 224
2021-07-20 22:52:06: Time: 225
2021-07-20 22:52:06: Time: 226
2021-07-20 22:52:06: Time: 227
2021-07-20 22:52:06: Time: 228
2021-07-20 22:52:06: Time: 229
2021-07-20 22:52:06: Time: 230
2021-07-20 22:52:06: Time: 231
2021-07-20 22:52:07: Time: 232
2021-07-20 22:52:07: Time: 233
2021-07-20 22:52:07: Time: 234
2021-07-20 22:52:07: Time: 235
2021-07-20 22:52:07: Time: 236
2021-07-20 22:52:07: Time: 237
2021-07-20 22:52:07: Time: 238
2021-07-20 22:52:07: Time: 239
2021-07-20 22:52:07: Time: 240
2021-07-20 22:52:07: Time: 241
2021-07-20 22:52:07: Time: 242
2021-07-20 22:52:07: Time: 243
2021-07-20 22:52:07: Time: 244
2021-07-20 22:52:07: Time: 245
2021-07-20 22:52:07: Time: 246
2021-07-20 22:52:07: Time: 247
2021-07-20 22:52:07: Time: 248
2021-07-20 22:52:07: Time: 249
2021-07-20 22:52:07: Time: 250
2021-07-20 22:52:07: Time: 251
2021-07-20 22:52:07: Time: 252
2021-07-20 22:52:07: Time: 253
2021-07-20 22:52:07: Time: 254
2021-07-20 22:52:07: Time: 255
2021-07-20 22:52:08: Time: 256
2021-07-20 22:52:08: Time: 257
2021-07-20 22:52:08: Time: 258
2021-07-20 22:52:08: Time: 259
2021-07-20 22:52:08: Time: 260
2021-07-20 22:52:08: Time: 261
2021-07-20 22:52:08: Time: 262
2021-07-20 22:52:08: Time: 263
2021-07-20 22:52:08: Time: 264
2021-07-20 22:52:08: Time: 265
2021-07-20 22:52:08: Time: 266
2021-07-20 22:52:08: Time: 267
2021-07-20 22:52:08: Time: 268
2021-07-20 22:52:08: Time: 269
2021-07-20 22:52:08: Time: 270
2021-07-20 22:52:08: Time: 271
2021-07-20 22:52:08: Time: 272
2021-07-20 22:52:08: Time: 273
2021-07-20 22:52:08: Time: 274
2021-07-20 22:52:08: Time: 275
2021-07-20 22:52:08: Time: 276
2021-07-20 22:52:08: Time: 277
2021-07-20 22:52:08: Time: 278
2021-07-20 22:52:08: Time: 279
2021-07-20 22:52:09: Time: 280
2021-07-20 22:52:09: Time: 281
2021-07-20 22:52:09: Time: 282
2021-07-20 22:52:09: Time: 283
2021-07-20 22:52:09: Time: 284
2021-07-20 22:52:09: Time: 285
2021-07-20 22:52:09: Time: 286
2021-07-20 22:52:09: Time: 287
2021-07-20 22:52:09: Time: 288
2021-07-20 22:52:09: Time: 289
2021-07-20 22:52:09: Time: 290
2021-07-20 22:52:09: Time: 291
2021-07-20 22:52:09: Time: 292
2021-07-20 22:52:09: Time: 293
2021-07-20 22:52:09: Time: 294
2021-07-20 22:52:09: Time: 295
2021-07-20 22:52:09: Time: 296
2021-07-20 22:52:09: Time: 297
2021-07-20 22:52:09: Time: 298
2021-07-20 22:52:09: Time: 299
2021-07-20 22:52:09: Time: 300
2021-07-20 22:52:09: Time: 301
2021-07-20 22:52:09: Time: 302
2021-07-20 22:52:09: Time: 303
2021-07-20 22:52:10: Time: 304
2021-07-20 22:52:10: Time: 305
2021-07-20 22:52:10: Time: 306
2021-07-20 22:52:10: Time: 307
2021-07-20 22:52:10: Time: 308
2021-07-20 22:52:10: Time: 309
2021-07-20 22:52:10: Time: 310
2021-07-20 22:52:10: Time: 311
2021-07-20 22:52:10: Time: 312
2021-07-20 22:52:10: Time: 313
2021-07-20 22:52:10: Time: 314
2021-07-20 22:52:10: Time: 315
2021-07-20 22:52:10: Time: 316
2021-07-20 22:52:10: Time: 317
2021-07-20 22:52:10: Time: 318
2021-07-20 22:52:10: Time: 319
2021-07-20 22:52:10: Time: 320
2021-07-20 22:52:10: Time: 321
2021-07-20 22:52:10: Time: 322
2021-07-20 22:52:10: Time: 323
2021-07-20 22:52:10: Time: 324
2021-07-20 22:52:10: Time: 325
2021-07-20 22:52:11: Time: 326
2021-07-20 22:52:11: Time: 327
2021-07-20 22:52:11: Time: 328
2021-07-20 22:52:11: Time: 329
2021-07-20 22:52:11: Time: 330
2021-07-20 22:52:11: Time: 331
2021-07-20 22:52:11: Time: 332
2021-07-20 22:52:11: Time: 333
2021-07-20 22:52:11: Time: 334
2021-07-20 22:52:11: Time: 335
2021-07-20 22:52:11: Time: 336
2021-07-20 22:52:11: Time: 337
2021-07-20 22:52:11: Time: 338
2021-07-20 22:52:11: Time: 339
2021-07-20 22:52:11: Time: 340
2021-07-20 22:52:11: Time: 341
2021-07-20 22:52:11: Time: 342
2021-07-20 22:52:11: Time: 343
2021-07-20 22:52:11: Time: 344
2021-07-20 22:52:11: Time: 345
2021-07-20 22:52:11: Time: 346
2021-07-20 22:52:11: Time: 347
2021-07-20 22:52:11: Time: 348
2021-07-20 22:52:12: Time: 349
2021-07-20 22:52:12: Time: 350
2021-07-20 22:52:12: Time: 351
2021-07-20 22:52:12: Time: 352
2021-07-20 22:52:12: Time: 353
2021-07-20 22:52:12: Time: 354
2021-07-20 22:52:12: Time: 355
2021-07-20 22:52:12: Time: 356
2021-07-20 22:52:12: Time: 357
2021-07-20 22:52:12: Time: 358
2021-07-20 22:52:12: Time: 359
2021-07-20 22:52:12: Time: 360
2021-07-20 22:52:12: Time: 361
2021-07-20 22:52:12: Time: 362
2021-07-20 22:52:12: Time: 363
2021-07-20 22:52:12: Time: 364
2021-07-20 22:52:12: Time: 365
2021-07-20 22:52:12: Time: 366
2021-07-20 22:52:12: Time: 367
2021-07-20 22:52:12: Time: 368
2021-07-20 22:52:12: Time: 369
2021-07-20 22:52:13: Time: 370
2021-07-20 22:52:13: Time: 371
2021-07-20 22:52:13: Time: 372
2021-07-20 22:52:13: Time: 373
2021-07-20 22:52:13: Time: 374
2021-07-20 22:52:13: Time: 375
2021-07-20 22:52:13: Time: 376
2021-07-20 22:52:13: Time: 377
2021-07-20 22:52:13: Time: 378
2021-07-20 22:52:13: Time: 379
2021-07-20 22:52:13: Time: 380
2021-07-20 22:52:13: Time: 381
2021-07-20 22:52:13: Time: 382
2021-07-20 22:52:13: Time: 383
2021-07-20 22:52:13: Time: 384
2021-07-20 22:52:13: Time: 385
2021-07-20 22:52:13: Time: 386
2021-07-20 22:52:14: Time: 387
2021-07-20 22:52:14: Time: 388
2021-07-20 22:52:14: Time: 389
2021-07-20 22:52:14: Time: 390
2021-07-20 22:52:14: Time: 391
2021-07-20 22:52:14: Time: 392
2021-07-20 22:52:14: Time: 393
2021-07-20 22:52:14: Time: 394
2021-07-20 22:52:14: Time: 395
2021-07-20 22:52:14: Time: 396
2021-07-20 22:52:14: Time: 397
2021-07-20 22:52:14: Time: 398
2021-07-20 22:52:14: Time: 399
2021-07-20 22:52:14: Time: 400
2021-07-20 22:52:14: Time: 401
2021-07-20 22:52:14: Time: 402
2021-07-20 22:52:15: Time: 403
2021-07-20 22:52:15: Time: 404
2021-07-20 22:52:15: Time: 405
2021-07-20 22:52:15: Time: 406
2021-07-20 22:52:15: Time: 407
2021-07-20 22:52:15: Time: 408
2021-07-20 22:52:15: Time: 409
2021-07-20 22:52:15: Time: 410
2021-07-20 22:52:15: Time: 411
2021-07-20 22:52:15: Time: 412
2021-07-20 22:52:15: Time: 413
2021-07-20 22:52:15: Time: 414
2021-07-20 22:52:15: Time: 415
2021-07-20 22:52:15: Time: 416
2021-07-20 22:52:15: Time: 417
2021-07-20 22:52:15: Time: 418
2021-07-20 22:52:16: Time: 419
2021-07-20 22:52:16: Time: 420
2021-07-20 22:52:16: Time: 421
2021-07-20 22:52:16: Time: 422
2021-07-20 22:52:16: Time: 423
2021-07-20 22:52:16: Time: 424
2021-07-20 22:52:16: Time: 425
2021-07-20 22:52:16: Time: 426
2021-07-20 22:52:16: Time: 427
2021-07-20 22:52:16: Time: 428
2021-07-20 22:52:16: Time: 429
2021-07-20 22:52:16: Time: 430
2021-07-20 22:52:16: Time: 431
2021-07-20 22:52:16: Time: 432
2021-07-20 22:52:16: Time: 433
2021-07-20 22:52:16: Time: 434
2021-07-20 22:52:16: Time: 435
2021-07-20 22:52:16: Time: 436
2021-07-20 22:52:16: Time: 437
2021-07-20 22:52:16: Time: 438
2021-07-20 22:52:17: Time: 439
2021-07-20 22:52:17: Time: 440
2021-07-20 22:52:17: Time: 441
2021-07-20 22:52:17: Time: 442
2021-07-20 22:52:17: Time: 443
2021-07-20 22:52:17: Time: 444
2021-07-20 22:52:17: Time: 445
2021-07-20 22:52:17: Time: 446
2021-07-20 22:52:17: Time: 447
2021-07-20 22:52:17: Time: 448
2021-07-20 22:52:17: Time: 449
