Time,GradE,LanE,LapC,dLan,TE,Chi,Phi_0P,Phi_1P,Phi_2P,Phi_3P,Phi_4P,Phi_5P,GradE_P,LanE_P,TE_P,LapC_P,dLan_P,Chi_P,Phi_0M,Phi_1M,Phi_2M,Phi_3M,Phi_4M,Phi_5M,GradE_M,LanE_M,TE_M,LapC_M,dLan_M,Chi_M
0.0,0.003512144609920608,0.24964750041065367,0.0033286213630884624,0.00273156785115305,0.2496510125552636,0.0033258897952373094,0.47,0.010538030399588342,0.00029846553014736203,9.217537857575028e-06,2.9825102352906797e-07,9.93831415815685e-09,0.0017673651889049883,0.11735084179768211,0.11735260916287102,-0.10374293429456463,-0.010528812861638799,-0.010425069927344235,0.53,-0.013273898522683961,0.0004069171770165811,-1.3517809843341541e-05,4.6880591940913554e-07,-1.670450215239545e-08,0.0017447794210156198,0.13229665861297146,0.1322984033923925,0.10707155565765313,0.01326038071279185,0.013153309157134196
0.01,0.003580336176330326,0.249640427524789,0.0014398534161775313,0.0027590268981989956,0.24964400786096533,0.0014370943892793324,0.47,0.010643187153609873,0.000304447793035296,9.495824589133438e-06,3.103067155223603e-07,1.0442530937318188e-08,0.0018013084880514002,0.11734785368016112,0.11734965498864917,-0.11235350498361628,-0.010633691328903776,-0.01052133782392016,0.53,-0.013406645545419526,0.0004150962261685842,-1.392731825333429e-05,4.878308489631038e-07,-1.7555818183524945e-08,0.001779027688278925,0.13229257384462786,0.13229435287231614,0.11379335839979382,0.013392718227102775,0.013278924868702982
0.02,0.003650498873088058,0.24963321292963614,0.0007418832278119139,0.002786759271925778,0.24963686342850921,0.0007390964685399881,0.47,0.010749391311846646,0.00031054988044141023,9.782512199718849e-06,3.2284985519294867e-07,1.0972344486631358e-08,0.001836319293379546,0.11734480577224302,0.11734664209153639,-0.11628180808821936,-0.010739608799537772,-0.010623326991449553,0.53,-0.013540717296105011,0.0004234394989998251,-1.4349224582814694e-05,5.076275727626408e-07,-1.8450513579063517e-08,0.0018141795797085116,0.13228840715739323,0.13229022133697294,0.1170236913160313,0.013526368071463546,0.013409344380147514
0.03,0.0037223481093507935,0.24962585380264798,0.00043818520922902365,0.0028147676100763897,0.24962957615075734,0.0004353704416189473,0.47,0.01085665324810588,0.00031677417855810957,1.0077852985647e-05,3.359000601405459e-07,1.1529048759144076e-08,0.0018722108285530586,0.11734169688573595,0.1173435690965645,-0.11866774094867136,-0.010846575395021396,-0.010727907654072725,0.53,-0.013676126908191838,0.0004319502798364896,-1.4783903041663878e-05,5.282273215432921e-07,-1.939079392827936e-08,0.001850137280797735,0.13228415691691206,0.13228600705419286,0.11910592615790036,0.013661343005097784,0.013542237078939885
0.04,0.003795809823948679,0.24961834726260743,0.00028714253439256557,0.002843054573458233,0.24962214307243139,0.0002842994798191073,0.47,0.010964983437167876,0.00032312312456741945,1.0382107224916122e-05,3.494777685696374e-07,1.2114005104406545e-08,0.00190893145616924,0.11733852580715837,0.11734043473861454,-0.12046382334723554,-0.01095460132985227,-0.010834137506505035,0.53,-0.013812887642712633,0.0004406319204058372,-1.52317393547153e-05,5.496626078711209e-07,-2.037897818872126e-08,0.0018868783677794387,0.13227982145544898,0.13228170833381675,0.12075096588162809,0.013797655903310503,0.013676904937428876
0.05,0.0038708635007554614,0.24961069037000594,0.0002033844310943625,0.002871622845984904,0.2496145612335067,0.0002005128082483776,0.47,0.011074392455713379,0.0003295992056794581,1.0695543194201821e-05,3.636042555777125e-07,1.2728644627398077e-08,0.001946463849031098,0.11733529129822408,0.11733723776207311,-0.1220066816565268,-0.011063696912434534,-0.010941690230778007,0.53,-0.013951012889439547,0.0004494878400698603,-1.569313097642566e-05,5.719672674196752e-07,-2.1417503746354314e-08,0.0019243996517243633,0.13227539907178185,0.13227732347143356,0.12221006608762118,0.013935319758419435,0.013813109692331814
0.06,0.003947510078587131,0.2496028801264407,0.00015264084922716678,0.0029004751347658283,0.24960682763651929,0.00014974037409240095,0.47,0.011184890983258448,0.0003362049594289583,1.101843733123196e-05,3.7830166105748086e-07,1.337447135774366e-08,0.001984804377647862,0.11733199209570072,0.11733397690007837,-0.12343151601922477,-0.011173872545847079,-0.011050441029827855,0.53,-0.014090516168051133,0.00045852152677443997,-1.6168487397385853e-05,5.951765087519109e-07,-2.250893218910901e-08,0.001962705700939271,0.13227088803073989,0.13227285073644082,0.12358415686845191,0.01407434768061291,0.013950763523744459
0.07,0.004025761429686752,0.24959491347371426,0.00011963249298892545,0.0029296141702079967,0.24959893923514395,0.00011670287881871745,0.47,0.011296489803096567,0.00034294297434433964,1.1351074443343713e-05,3.935930218261324e-07,1.4053065773691892e-08,0.0020239563507378757,0.11732862691108317,0.11733065086743391,-0.12479867162508182,-0.011285138728576538,-0.011160340056951455,0.53,-0.014231411129307509,0.0004677365382210734,-1.665823048434854e-05,6.193269670440814e-07,-2.365595550159194e-08,0.0020018050789488775,0.13226628656263117,0.13226828836771012,0.12491830411807074,0.014214752898784539,0.014089834594666468
0.08,0.004105635854638015,0.2495867872928071,9.691329252905362e-05,0.002959042706121362,0.24959089292866174,9.395424982293225e-05,0.47,0.011409199803247956,0.00034981589077622997,1.169374793866376e-05,4.095023062696199e-07,1.4766088580408712e-08,0.0020639271199606175,0.11732519443018836,0.11732725835730833,-0.1261376190017954,-0.011397506055235278,-0.011271368436233482,0.53,-0.01437371155623356,0.00047713650314276136,-1.7162794840064246e-05,6.444567607347727e-07,-2.486140262398832e-08,0.002041708734677398,0.13226159286261874,0.13226363457135343,0.1262345322943245,0.014356548761356638,0.014230314229062313
0.09,0.00418715583071012,0.24957849840277216,8.0561620652949e-05,0.0029887635198245967,0.24958268555860286,7.75728571331244e-05,0.47,0.0115230319774157,0.0003568264018124967,1.2046760072028428e-05,4.2605445096071946e-07,1.5515284715252354e-08,0.00210472663197527,0.11732169331270638,0.11732379803933836,-0.12746393799225633,-0.011510985217271747,-0.01138352127927949,0.53,-0.014517431365310232,0.00048672512264371,-1.7682628178467415e-05,6.706055508153044e-07,-2.6128246366993114e-08,0.0020824291987348495,0.1322568050900658,0.13225888751926454,0.12754449961290926,0.014499748737096346,0.014372204237483437
