Time,GradE,LanE,LapC,dLan,TE,Chi,Phi_0P,Phi_1P,Phi_2P,Phi_3P,Phi_4P,Phi_5P,GradE_P,LanE_P,TE_P,LapC_P,dLan_P,Chi_P,Phi_0M,Phi_1M,Phi_2M,Phi_3M,Phi_4M,Phi_5M,GradE_M,LanE_M,TE_M,LapC_M,dLan_M,Chi_M
0.0,0.11724631774631299,0.2362287757497477,0.1113845302001032,0.08356400284302715,0.23634602206749403,0.11130096619726017,0.31,0.030165414892721055,0.0038060786060246715,0.0005313197895433679,7.836036042378878e-05,1.1965133144715445e-05,0.05374751848076393,0.0756165507870905,0.07567029830557126,-0.5548637506534588,-0.029634095051646964,-0.029079231300993505,0.69,-0.1185653964252388,0.02438763639324781,-0.005367298530198125,0.001224172637124957,-0.00028550227673943354,0.06349879926554912,0.1606122249626572,0.16067572376192274,0.666248280853562,0.11319809789467407,0.11253184961382051
0.01,0.11932359282877966,0.2359711543371613,0.04816316095184199,0.08426762414907493,0.23609047792999008,0.04807889332769292,0.31,0.03045750775341801,0.0038795217838800767,0.0005466614456559191,8.137200773684248e-05,1.2539230254824645e-05,0.05461083639695508,0.07558058210998995,0.0756351929463869,-0.6411777161650258,-0.029910846243218173,-0.029269668527053146,0.69,-0.11970016552335314,0.024854481637575067,-0.005521695129984463,0.0012712521838362358,-0.00029927117235733477,0.06471275643182457,0.16039057222717135,0.16045528498360317,0.6893408771168681,0.11417847039229309,0.11348912951517623
0.02,0.12148529972093502,0.23570908388056128,0.024804104379262518,0.08497448736732749,0.23583056918028222,0.02471912989189519,0.31,0.030752320977209927,0.003954356314054739,0.0005624419292311569,8.449898253600913e-05,1.3140893966816995e-05,0.05553454110790732,0.0755439465886029,0.07559948112971081,-0.6775039859517337,-0.030189878987618553,-0.02951237500166682,0.69,-0.120844723616771,0.025329768365967398,-0.005680357261094767,0.0013200858997692196,-0.00031368692562530024,0.06595075861302774,0.16016513729195841,0.16023108805057143,0.7023080903309963,0.11516436635494606,0.11446205826461507
0.03,0.12370829673349248,0.2354425020023507,0.014642000774117966,0.085684526569305,0.2355662102990842,0.014556316247548662,0.31,0.03104987678905693,0.004030606348835175,0.0005786729228908111,8.774543093687132e-05,1.3771374161001087e-05,0.05649607651888643,0.07550663318331349,0.07556312925983238,-0.6973289108660001,-0.03047120381131964,-0.029773874900453638,0.69,-0.12199912469029082,0.025813630295516636,-0.005843394309362181,0.001370735867182489,-0.00032877875481339316,0.06721222021460606,0.1599358688190372,0.16000308103925182,0.7119709116401185,0.11615573038062466,0.11544375946898454
0.04,0.12598544625354757,0.23517134578006665,0.009588874481243737,0.08639767322631542,0.2352973312263202,0.009502476808017421,0.31,0.03135019750822585,0.004108296831080619,0.0005953666270280356,9.111572280595834e-05,1.4431999736920083e-05,0.057488248517199865,0.0754686305151585,0.0755261187636757,-0.710809396665851,-0.03075483083070394,-0.030044021434038087,0.69,-0.12316342213773109,0.02630620256361416,-0.006010918080765256,0.0014232661868617653,-0.0003445771233509372,0.06849719773634766,0.1597027152649082,0.15977121246264456,0.7203982711470949,0.11715250405701935,0.11643210578587226
0.05,0.12831366196598923,0.2348955518682574,0.006787277058159999,0.08711385605945039,0.2350238655302234,0.006700163202100548,0.31,0.031653305545035364,0.004187453281772667,0.0006125356544755042,9.461441790383765e-05,1.512416991023207e-05,0.05850774853716422,0.07542992696358727,0.07548843471212444,-0.7215340933226462,-0.031040769843298153,-0.030319235749975505,0.69,-0.124337668731173,0.026807621705390104,-0.006183042828770355,0.0014777430294612124,-0.00036111378611984363,0.069805913428825,0.15946562490467012,0.15953543081809896,0.7283213703808061,0.11815462590274853,0.11742630453236773
0.06,0.1306914621276478,0.23461505655467427,0.005090280988101402,0.08783300095083935,0.23474574801680193,0.005002447987150563,0.31,0.031959223397859865,0.004268101729039761,0.0006301929993780099,9.824625805843053e-05,1.5849353151170023e-05,0.059552804429098154,0.07539051069999263,0.07545006350442172,-0.7309437562002931,-0.03132903035364199,-0.030598086597441697,0.69,-0.12552191658957454,0.02731802563563962,-0.006359885285685637,0.0015342346900060189,-0.00037842183820380485,0.07113865769854971,0.1592245458546816,0.15929568451238016,0.7360340371883946,0.11916203130448133,0.11842599726729294
0.07,0.1331181658446596,0.23432979579834778,0.003986585814254005,0.08855503087277364,0.23446291396419244,0.0038980307833812317,0.31,0.03226797365019989,0.004350268677652742,0.0006483520272017646,0.00010201616677519056,1.6609088336199073e-05,0.060622408830699616,0.07535036970286552,0.07541099211169622,-0.7396810306256422,-0.03161962158001026,-0.03087994054938462,0.69,-0.12671621714674305,0.027837553630989886,-0.006541564694766974,0.0015928116439092612,-0.00039653576542980504,0.07249575701395994,0.1589794260954822,0.15905192185249617,0.7436676164398963,0.1201746524527839,0.119430984836344
0.08,0.13559354810428284,0.23403970526106038,0.0032270460207300747,0.08927986582438972,0.23417529880916466,0.003137766154905685,0.31,0.03257957896773838,0.004433981094607725,0.0006670264731661881,0.00010592925186366645,1.7404986833345652e-05,0.06171598799130606,0.07530949176566029,0.0753712077536516,-0.7480594143391585,-0.031912552453026204,-0.031164493038687045,0.69,-0.1279206211186595,0.028366346311245405,-0.006728202842245341,0.0016535466040918032,-0.00041549149656311646,0.07387756011297684,0.1587302134954001,0.15880409105551307,0.7512864603598886,0.12119241827741593,0.12044113181705604
0.09,0.13811766677610893,0.2337447203361971,0.0026804577068414367,0.09000742277221435,0.2338828380029732,0.0025904502840692224,0.31,0.0328940620953412,0.004519266402404841,0.0006862304447604838,0.0001099908095869765,1.823873509445189e-05,0.06283323570174343,0.07526786450119266,0.07533069773689441,-0.7562443350730115,-0.032207831610171815,-0.0314515872750988,0.69,-0.129135178470153,0.02890454561951426,-0.006919924088947658,0.001716514579046789,-0.00043532645712363163,0.07528443107436542,0.15847685583500443,0.15855214026607878,0.7589247927798529,0.12221525438238615,0.1214563295896063
