Time,GradE,LanE,LapC,dLan,TE,Chi,Phi_0P,Phi_1P,Phi_2P,Phi_3P,Phi_4P,Phi_5P,GradE_P,LanE_P,TE_P,LapC_P,dLan_P,Chi_P,Phi_0M,Phi_1M,Phi_2M,Phi_3M,Phi_4M,Phi_5M,GradE_M,LanE_M,TE_M,LapC_M,dLan_M,Chi_M
0.0,0.014828569515422944,0.24841423198144666,0.023955148444867746,0.019270993325420104,0.2484290605509621,0.023935877451542326,0.38,0.015442651219413642,0.0007958051107304931,4.507505413918035e-05,2.687056777639792e-06,1.654422410186815e-07,0.00705302287122307,0.09460276920882907,0.0946098222317003,-0.20452676420410337,-0.015397576163770006,-0.015193049399565903,0.62,-0.034844054054833075,0.0023837900725444333,-0.00017548456549309777,1.3431235560147078e-05,-1.0533880198714112e-06,0.007775546644199869,0.15381146277261776,0.15381923831926195,0.2284819126489712,0.034668569489190115,0.03444008757654114
0.01,0.015110483511718883,0.2483825901829908,0.010361877059377182,0.01946165282875187,0.24839770066650252,0.010342415406548431,0.38,0.015595695957218181,0.0008116151485471526,4.642155485171971e-05,2.794350649733051e-06,1.7372110703176777e-07,0.007180692651162825,0.09459489101338875,0.09460207170603992,-0.22844157708328958,-0.01554927440047388,-0.01532083282339059,0.62,-0.035191715319151065,0.002431589191364314,-0.00018078808971283994,1.3975061137456076e-05,-1.1069580004987574e-06,0.007929790860556054,0.1537876991696021,0.15379562896046267,0.23880345414266674,0.03501092722922574,0.034772123775083076
0.02,0.015401669828382243,0.24835032189325354,0.005338730197464267,0.01965411757796918,0.24836572356308192,0.005319076079886298,0.38,0.015750247932470443,0.0008277385465862202,4.780826118110907e-05,2.9059325479676454e-06,1.8241506340159515e-07,0.007314122047030176,0.09458685720984379,0.09459417133189083,-0.23882700059679576,-0.015702439669516743,-0.015463612668919947,0.62,-0.03554280846839442,0.0024803410500109815,-0.00018625122071910482,1.4540833661455133e-05,-1.1632449630736007e-06,0.008087547781352067,0.1537634646834098,0.15377155223119116,0.24416573079426007,0.035356557247485924,0.03511239151669166
0.03,0.01570034155487276,0.24831741495464463,0.0031531145055671353,0.01984840218643523,0.2483331152961995,0.0031332661033807003,0.38,0.015906321705765183,0.000844181397787321,4.923635310508259e-05,3.021971174000813e-06,1.9154462321018055e-07,0.007451689435476435,0.09457866479389974,0.09458611648333522,-0.24474936190736357,-0.015857085351046806,-0.015612335989139442,0.62,-0.035897366261750316,0.002530064395413055,-0.0001918787241085752,1.5129433805751234e-05,-1.2223860919996513e-06,0.008248652119396325,0.15373875016074487,0.15374699881286427,0.24790247641293076,0.03570548753748204,0.03545758506106911
0.04,0.016005990636276318,0.24828385696481142,0.002066127891440471,0.020044521313095472,0.2482998629554477,0.0020460833701273756,0.38,0.016063931969989113,0.0008609499424140315,5.070705152737112e-05,3.142642770566934e-06,2.0113142114514007e-07,0.007592898841927043,0.09457031068948554,0.09457790358832747,-0.24895893341340286,-0.016013224916973722,-0.01576426598356032,0.62,-0.036255421737287366,0.002580778338095456,-0.0001976755070825475,1.5741777494865555e-05,-1.2845254869043e-06,0.008413091794349278,0.15371354627532585,0.15372195936712021,0.25102506130484337,0.036057746230069194,0.03580672116876435
0.05,0.016318433438962124,0.24824963528153526,0.0014633680808565433,0.02024248965736926,0.24826595371497423,0.001443125591199174,0.38,0.016223093551242934,0.000878050554434265,5.222161600823751e-05,3.2681309306662192e-06,2.1119821187056808e-07,0.007737539152045094,0.09456179175551546,0.09456952929466751,-0.25242760488546695,-0.01617087193383913,-0.015918444328953663,0.62,-0.036617008213282363,0.0026325023565557876,-0.00020364662195703916,1.637881719093707e-05,-1.349814492625306e-06,0.008580894286917037,0.1536878435260198,0.15369642442030673,0.25389097296632357,0.036413361591208386,0.03615947061824206
0.06,0.016637615592372597,0.24821473702179156,0.0010982007195512664,0.020442321955512113,0.24823137463738393,0.0010777583975957543,0.38,0.01638382140977271,0.0008954897382820322,5.3781344685487176e-05,3.398626718367372e-06,2.217689059300242e-07,0.007885512176590975,0.09455310478753849,0.09456099029971508,-0.25554565555692843,-0.016330040063760324,-0.016074494408203396,0.62,-0.03698215928951998,0.002685256303141605,-0.00020979727014542573,1.704154329550461e-05,-1.4184120549483982e-06,0.008752103415781616,0.15366163223425297,0.15367038433766875,0.2566438562764798,0.03677236201927243,0.036515718162995946
0.07,0.016963547970882946,0.24817914905910532,0.0008606651098525889,0.0206440329773219,0.2481961126070762,0.0008400210768752669,0.38,0.016546130640904527,0.0009132741286129183,5.538757483682059e-05,3.534328884777516e-06,2.3286861801593953e-07,0.00803677623920945,0.09454424651791467,0.09455228329415388,-0.2584872255990819,-0.016490743064792767,-0.016232255839193684,0.62,-0.037350908848562986,0.002739060410430593,-0.00021613280635832463,1.773098562385769e-05,-1.4904850965186314e-06,0.008926771731673503,0.1536349025411906,0.15364382931292228,0.2593478907089346,0.03713477604211468,0.036875428151405744
0.08,0.01729627926176348,0.24814285802019415,0.0006971745652276339,0.020847637522917763,0.2481601542994559,0.0006763269277047161,0.38,0.0167100364759802,0.0009314104912732349,5.70416837136274e-05,3.67544412809952e-06,2.4452372177090366e-07,0.008191321993333651,0.09453521361539534,0.09454340493738868,-0.2613373068954682,-0.01665299479103154,-0.016391657484136072,0.62,-0.03772329105699099,0.002793935297873858,-0.00022265874296193954,1.8448214943456727e-05,-1.566208912274781e-06,0.009104957268429819,0.15360764440479885,0.1536167493620673,0.26203448146069586,0.037500632313949296,0.0372385978324886
0.09,0.017635882237903182,0.2481058502812427,0.0005795068087674493,0.02105315041949113,0.24812348616348062,0.0005584536583479582,0.38,0.01687555428329206,0.0009499057248717751,5.874508952075531e-05,3.8221873807972596e-06,2.5676190925542593e-07,0.008349160311658072,0.09452600268440925,0.0945343518447209,-0.2641407828351685,-0.016816809192567193,-0.016552668409732026,0.62,-0.03809934036660606,0.0028499019786204977,-0.00022938075447684377,1.919434457498653e-05,-1.645767584797365e-06,0.009286721926245106,0.1535798475968334,0.15358913431875965,0.26472028964393596,0.03786995961205832,0.037605239322414385
