Time,GradE,LanE,LapC,dLan,TE,Chi,Phi_0P,Phi_1P,Phi_2P,Phi_3P,Phi_4P,Phi_5P,GradE_P,LanE_P,TE_P,LapC_P,dLan_P,Chi_P,Phi_0M,Phi_1M,Phi_2M,Phi_3M,Phi_4M,Phi_5M,GradE_M,LanE_M,TE_M,LapC_M,dLan_M,Chi_M
0.0,0.03752265650606091,0.24536241776044537,0.0691448788304884,0.053658088359852044,0.24539994041695143,0.06909122074212855,0.29,0.015442488001381014,0.0010597826934715382,8.059312015805686e-05,6.480662460604888e-06,5.398340149723114e-07,0.01670544409597961,0.07197172881887898,0.07198843426297495,-0.31130939079086983,-0.01536189487105143,-0.01505058548026056,0.71,-0.07006745397997223,0.008287177877580763,-0.0010474707490916437,0.00013711152142774696,-1.8343727435693686e-05,0.0208172124100813,0.1733906889415664,0.17341150615397646,0.3804542696213581,0.0690199832309035,0.06863952896128214
0.01,0.03819980224418673,0.245271243940191,0.029907969660801954,0.05417082562154299,0.24530944374243518,0.029853798835180412,0.29,0.015593601528570368,0.001080474848420995,8.294906784917157e-05,6.732866796126031e-06,5.660600172755914e-07,0.016970734881122475,0.07196144579248798,0.0719784165273691,-0.36297272621394866,-0.015510652447964351,-0.015147679721750403,0.71,-0.07076027575907386,0.008451705404975767,-0.0010787976894777187,0.00014260340076404388,-1.9266349968942004e-05,0.02122906736306424,0.173309798147703,0.17333102721506607,0.3928806958747506,0.06968147806950732,0.06928859737363258
0.02,0.03890659604268158,0.24517832123405237,0.015408880721728566,0.054687877482909236,0.24521722783009506,0.015354192844245657,0.29,0.01574617673362326,0.001101570323961438,8.537413783537878e-05,6.994962069721309e-06,5.935744511092104e-07,0.0172571109845834,0.07195096357853623,0.07196822068952081,-0.3845886987085987,-0.01566080258384156,-0.015276213885132962,0.71,-0.07145972973463101,0.008619441222411454,-0.0011110496678465235,0.00014831306688763555,-2.0234995421462817e-05,0.02164948505809817,0.1732273576555161,0.1732490071405742,0.39999757943032754,0.0703486800667508,0.06994868248732047
0.03,0.03963478888821565,0.2450836180462041,0.009100294189170244,0.05520926247378459,0.24512325283509231,0.00904508492669646,0.29,0.01590022726251327,0.0011230765194563004,8.787023905524139e-05,7.267314257235753e-06,6.224371861934056e-07,0.017556431314754477,0.07194027856883575,0.0719578350001505,-0.3962831289946735,-0.015812357012588308,-0.015416073883593635,0.71,-0.0721658728839127,0.008790445556359697,-0.001144253397574283,0.00015424902219315074,-2.1251931969938265e-05,0.022078357573461167,0.17314333947736824,0.1731654178349417,0.4053834231838439,0.07102161948637294,0.07061623606318909
0.04,0.04038185504602382,0.24498710220484493,0.005962849988905953,0.05573499865435904,0.24502748405989094,0.005907114990251594,0.29,0.016055766874809325,0.0011450011167445841,9.043937645050656e-05,7.550311341398622e-06,6.527122524570556e-07,0.017866100121656264,0.07192938701946268,0.07194725311958433,-0.40416103038141765,-0.015965327488337983,-0.015561166457956565,0.71,-0.07287876247838514,0.008964779676056597,-0.0011784363357801573,0.00016042009364253688,-2.23195378083986e-05,0.022515754924367557,0.17305771518538232,0.1730802309403067,0.41012388037032355,0.071700326142697,0.07129020226232669
0.05,0.041146717268587034,0.24488874099615668,0.004223086486449583,0.05626510357341265,0.24492988771342528,0.00416682138287617,0.29,0.016212809444027178,0.0011673520044646595,9.308363033032669e-05,7.84435965361984e-06,6.844673176914078e-07,0.018184923159578033,0.07191828508768075,0.07193647001084033,-0.4103796675043868,-0.016119725804304173,-0.015709346136799786,0.71,-0.07359845607894928,0.009142505905210806,-0.0012136267013718662,0.0001668354443258774,-2.3440306262824044e-05,0.022961794109008997,0.172970455908476,0.17299341770258503,0.4146027539908366,0.0723848293777168,0.07197022662372596
0.06,0.04192887241978123,0.24478850117277598,0.003169105535381026,0.05679959423815634,0.24483043004519575,0.00311230594114287,0.29,0.016371368958040644,0.0011901372534093542,9.580515036601953e-05,8.14988302015401e-06,7.177736148698902e-07,0.018512260070564106,0.07190696884405007,0.07192548110412063,-0.4158052269915382,-0.016275563798750198,-0.01585975857175866,0.71,-0.07432501153093624,0.009323687635363414,-0.0012498534942092594,0.00017350458563086696,-2.461685119018125e-05,0.02341661234921712,0.17288153232872588,0.1729049489410751,0.41897433252691924,0.07307515803690653,0.07265618370437961
0.07,0.04272810450900286,0.24468634895503422,0.0024835142017988303,0.05733848708699041,0.24472907705954322,0.00242617571471184,0.29,0.016531459519514416,0.001213365106490347,9.860615375833646e-05,8.467322710505634e-06,7.527059997629464e-07,0.01884774617672812,0.0718954342774322,0.07191428202360893,-0.4208241080205891,-0.016432853357187253,-0.016012029249166664,0.71,-0.07505848695885196,0.009508389339739673,-0.0012871465148891889,0.00018043738988726116,-2.5851912636594925e-05,0.02388035833227469,0.17279091467760194,0.17281479503593422,0.42330762222238805,0.07377134044417766,0.07334803282195528
0.08,0.04354436163507725,0.24458225002937503,0.0020116401609472784,0.05788179796310103,0.24462579439101012,0.0019537583629841773,0.29,0.016693095346342484,0.001237043974531417,0.00010148892507528767,8.797137712869861e-06,7.89343063713762e-07,0.01919117315847155,0.07188367729716226,0.07190286847032074,-0.4256248192106076,-0.016591606412972807,-0.0161659815937622,0.71,-0.07579894076086363,0.009696676587306554,-0.0013255363850367067,0.00018764410346408498,-2.7148362756736564e-05,0.0243531884766057,0.1726985727322127,0.1727229259206893,0.4276364593715548,0.07447340437607379,0.07404576791670224
0.09,0.04437769433882674,0.24447616954547102,0.001672023468898047,0.058429542088135125,0.24452054723980984,0.001613593926809912,0.29,0.016856290772084073,0.0012611824348736967,0.0001044558169086272,9.13980517648848e-06,8.277672766053527e-07,0.019542429258818113,0.07187169373385703,0.07189123616311585,-0.4303068368394361,-0.016751834947095028,-0.01632152811025559,0.71,-0.07654643160302012,0.009888616056932073,-0.0013650545680666004,0.00019513536032055693,-2.850921200243661e-05,0.02483526508000862,0.17260447581161403,0.17262931107669405,0.4319788603083341,0.07518137703523012,0.07474939817492178
